ticker,test_accuracy,benchmark_test_accuracy,train_accuracy,benchmark_train_accuracy
OC,0.34146341463414637,0.3207317073170732,0.33393501805054154,0.35499398315282793
A,0.2475609756097561,0.35853658536585364,0.2045728038507822,0.351985559566787
AA,0.30149253731343284,0.373134328358209,0.2813918305597579,0.37065052950075644
AAP,0.26991150442477874,0.2610619469026549,0.2564102564102564,0.34382284382284384
ABB,0.6085365853658536,0.4036585365853659,0.5517448856799038,0.3910950661853189
ABBV,0.3510204081632653,0.37551020408163266,0.37438423645320196,0.4019704433497537
ABEV,0.8151515151515152,0.42727272727272725,0.7828746177370031,0.41896024464831805
ABT,0.1475609756097561,0.36829268292682926,0.1486161251504212,0.38929001203369434
ABR,0.2516382699868938,0.3840104849279161,0.2503276539973788,0.4121887287024902
ADT,0.2251655629139073,0.41721854304635764,0.3006535947712418,0.4150326797385621
AEM,0.3402439024390244,0.33658536585365856,0.3676293622141998,0.3658243080625752
ACM,0.6,0.4,0.5318066157760815,0.36005089058524176
ADM,0.5029850746268657,0.3761194029850746,0.5491923641703378,0.3854625550660793
PMT,0.7169811320754716,0.38005390835579517,0.6871165644171779,0.3803680981595092
ADPT,0.37037037037037035,0.3333333333333333,0.30357142857142855,0.375
AEE,0.2280487804878049,0.3902439024390244,0.2111913357400722,0.36883273164861613
AFL,0.43851851851851853,0.4311111111111111,0.4566813509544787,0.39794419970631423
AES,0.7302325581395349,0.43023255813953487,0.6862745098039216,0.3860294117647059
AEG,0.9945945945945946,0.4594594594594595,0.9974811083123426,0.4508816120906801
AEP,0.30122591943957966,0.3345008756567426,0.28031634446397186,0.36467486818980666
AGI,0.5474934036939314,0.37730870712401055,0.5984200131665569,0.40618828176431865
AOS,0.55,0.42,0.5339805825242718,0.39805825242718446
AMC,0.7333333333333333,0.3586206896551724,0.7443181818181818,0.3522727272727273
ANF,0.45054945054945056,0.3516483516483517,0.36681222707423583,0.40611353711790393
AMT,0.3587570621468927,0.4011299435028249,0.37268847795163584,0.34708392603129445
AMH,0.5401174168297456,0.40117416829745595,0.5458984375,0.3779296875
ALSN,0.6890595009596929,0.3570057581573896,0.7204502814258912,0.3696060037523452
ALLY,0.3995433789954338,0.363013698630137,0.4450736126840317,0.38165345413363533
AME,0.35853658536585364,0.3548780487804878,0.3730445246690734,0.35318892900120336
AMX,0.8870588235294118,0.36941176470588233,0.87115165336374,0.3899657924743444
AM,0.8493975903614458,0.4036144578313253,0.8930635838150289,0.38439306358381503
AUY,0.2947903430749682,0.40025412960609913,0.30131004366812225,0.3792888334373051
AZN,0.270935960591133,0.367816091954023,0.2946058091286307,0.362655601659751
BCS,0.2074688796680498,0.3775933609958506,0.21414342629482072,0.3804780876494024
BAC,0.8904761904761904,0.3952380952380952,0.8735632183908046,0.3563218390804598
BPY,0.7275641025641025,0.40384615384615385,0.7181528662420382,0.4140127388535032
BRX,0.8921933085501859,0.35687732342007433,0.9012567324955116,0.4111310592459605
AXTA,0.7230769230769231,0.2923076923076923,0.7093023255813954,0.4186046511627907
ASB,0.14901960784313725,0.3633986928104575,0.13246753246753246,0.3961038961038961
BLL,0.27490774907749077,0.3966789667896679,0.2804182509505703,0.35361216730038025
BRFS,0.2708333333333333,0.3828125,0.288021534320323,0.3728129205921938
BEN,0.3493723849372385,0.3891213389121339,0.39104477611940297,0.35522388059701493
BA,0.4053601340033501,0.35678391959798994,0.3509496284062758,0.3278282411230388
APD,0.36551724137931035,0.32413793103448274,0.3265993265993266,0.30976430976430974
BRO,0.10714285714285714,0.41304347826086957,0.088,0.4032
BHP,0.39878048780487807,0.3439024390243902,0.39590854392298436,0.34296028880866425
APA,0.13333333333333333,0.3333333333333333,0.15625,0.3125
BGS,0.0951219512195122,0.38902439024390245,0.1269554753309266,0.3868832731648616
BIG,0.22478991596638656,0.3802521008403361,0.2088607594936709,0.33649789029535865
BUD,0.30833333333333335,0.33541666666666664,0.27589743589743587,0.3312820512820513
CF,0.3925925925925926,0.32592592592592595,0.4024390243902439,0.3861788617886179
CBL,0.7121951219512195,0.3926829268292683,0.7322503008423586,0.4043321299638989
CFX,0.5294117647058824,0.35294117647058826,0.3546099290780142,0.3475177304964539
CAG,0.8265895953757225,0.4624277456647399,0.8264984227129337,0.41324921135646686
CCC,0.05,0.45,0.04838709677419355,0.3709677419354839
BX,0.25121951219512195,0.37926829268292683,0.2490974729241877,0.3832731648616125
CAT,0.3202247191011236,0.29775280898876405,0.38055555555555554,0.3388888888888889
CHS,0.574390243902439,0.38658536585365855,0.5685920577617328,0.4019253910950662
BWA,0.445,0.38166666666666665,0.4431818181818182,0.3530844155844156
CCI,0.3020833333333333,0.37648809523809523,0.3215077605321508,0.34811529933481156
CPG,0.17117117117117117,0.3963963963963964,0.20095693779904306,0.3492822966507177
CYH,0.7522123893805309,0.37168141592920356,0.7781217750257998,0.37048503611971106
CS,0.11951219512195121,0.4097560975609756,0.10589651022864019,0.3676293622141998
CVS,0.4730392156862745,0.3480392156862745,0.46735395189003437,0.35051546391752575
COUP,0.37755102040816324,0.30612244897959184,0.34759358288770054,0.3850267379679144
DAR,0.33191489361702126,0.38581560283687943,0.3806818181818182,0.38636363636363635
CXW,0.3781094527363184,0.36650082918739635,0.398538961038961,0.37987012987012986
DAN,0.3231707317073171,0.40487804878048783,0.33935018050541516,0.37545126353790614
VVR,1.0,0.3556701030927835,1.0,0.4090909090909091
WES,0.8,0.45,0.8314606741573034,0.4044943820224719
W,0.2,0.3111111111111111,0.1746987951807229,0.3072289156626506
WDAY,0.41237113402061853,0.28350515463917525,0.4923469387755102,0.3086734693877551
WEC,0.4177583697234352,0.3537117903930131,0.4462750716332378,0.37679083094555876
VG,0.21773142112125163,0.39374185136897,0.24023062139654067,0.4151185137732223
VLY,0.545816733067729,0.3944223107569721,0.5052301255230126,0.41422594142259417
VIPS,0.3984251968503937,0.4220472440944882,0.4226884226884227,0.36985236985236986
AKS,0.18620689655172415,0.38482758620689655,0.19958847736625515,0.37585733882030176
ALB,0.3201320132013201,0.3795379537953795,0.3425925925925926,0.35185185185185186
ALB,0.3829787234042553,0.39361702127659576,0.3786407766990291,0.36893203883495146
ALL,0.3895747599451303,0.345679012345679,0.3877966101694915,0.37966101694915255
ARI,0.4240506329113924,0.35443037974683544,0.41435897435897434,0.38153846153846155
AVP,0.870026525198939,0.35278514588859416,0.8777472527472527,0.37774725274725274
ARMK,0.205,0.3625,0.17288557213930347,0.3818407960199005
AXL,0.4719512195121951,0.3573170731707317,0.46690734055354993,0.3489771359807461
AXP,0.3438985736925515,0.3328050713153724,0.31419705197827774,0.330488750969744
BABA,0.0851063829787234,0.3191489361702128,0.1076923076923077,0.31794871794871793
BAH,0.3485254691689008,0.3579088471849866,0.32694848084544254,0.3758256274768824
BAS,0.5456730769230769,0.35336538461538464,0.5590909090909091,0.3431818181818182
BBY,0.5416666666666666,0.32142857142857145,0.5348837209302325,0.330749354005168
BKD,0.4709897610921502,0.3993174061433447,0.4815436241610738,0.3859060402684564
BDX,0.2803921568627451,0.296078431372549,0.2742857142857143,0.31523809523809526
BP,0.41585365853658535,0.3780487804878049,0.40673886883273164,0.37845968712394706
BSX,0.9607843137254902,0.37745098039215685,0.9730941704035875,0.4125560538116592
BTU,0.45901639344262296,0.2459016393442623,0.46017699115044247,0.34513274336283184
CBS,0.3192771084337349,0.3493975903614458,0.4147058823529412,0.36470588235294116
CCO,0.5384615384615384,0.4,0.583547557840617,0.43316195372750643
CHD,0.17560975609756097,0.3646341463414634,0.1726835138387485,0.38748495788206977
CHK,0.26243093922651933,0.356353591160221,0.22130013831258644,0.39280774550484093
CI,0.28434504792332266,0.36421725239616615,0.34098360655737703,0.3442622950819672
CL,0.30387931034482757,0.3793103448275862,0.31643002028397565,0.3539553752535497
CMA,0.275609756097561,0.3195121951219512,0.25210589651022863,0.3489771359807461
CMI,0.34890965732087226,0.2897196261682243,0.3489736070381232,0.34457478005865105
CNC,0.4090909090909091,0.30844155844155846,0.4262023217247098,0.36318407960199006
CNK,0.20287253141831238,0.35727109515260325,0.21875,0.37775735294117646
CNO,0.05234159779614325,0.42424242424242425,0.06088082901554404,0.4183937823834197
