Symbol,Description,Last Volume
A,"Agilent Technologies, Inc. Common Stock",1712146.0
AA,Alcoa Inc. Common Stock,4695503.0
AA$B,Alcoa Inc. Depository Shares Representing 1/10th Preferred Convertilble Class B Series 1,
AAC,"AAC Holdings, Inc. Common Stock",
AAN,"Aaron's, Inc. Common Stock",
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,1065904.0
AAT,"American Assets Trust, Inc. Common Stock",275667.0
AAV,Advantage Oil & Gas Ltd  Ordinary Shares,
AB,Allianceberstein Holding L.P.  Units,
ABB,ABB Ltd Common Stock,1777283.0
ABBV,AbbVie Inc. Common Stock,8004485.0
ABC,AmerisourceBergen Corporation (Holding Co) Common Stock,
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),15350893.0
ABG,Asbury Automotive Group Inc Common Stock,179387.0
ABM,ABM Industries Incorporated Common Stock,312937.0
ABR,Arbor Realty Trust Common Stock,1433959.0
ABR$A,Arbor Realty Trust Preferred Series A,
ABR$B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,
ABR$C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,
ABRN,Arbor Realty Trust 7.375% Senior Notes due 2021,
ABT,Abbott Laboratories Common Stock,4864938.0
ABX,Barrick Gold Corporation Common Stock,
ACC,American Campus Communities Inc Common Stock,658703.0
ACCO,Acco Brands Corporation Common Stock,445464.0
ACE,Ace Limited Common Stock,
ACG,Alliancebernstein Income Fund,
ACH,Aluminum Corporation of China Limited American Depositary Shares,30535.0
ACI,"Arch Coal, Inc. Common Stock",
ACM,AECOM Common Stock,1260445.0
ACMP,"Access Midstream Partners, L.P. Common Units Representing Limited Partner Interests",
ACN,Accenture plc. Class A Ordinary Shares (Ireland),
ACP,Avenue Income Credit Strategies Fund Common Shares,199241.0
ACRE,Ares Commercial Real Estate Corporation Common Stock,298204.0
ACT,Actavis plc Ordinary Shares,2204.0
ACW,Accuride Corporation Common Stock,
ADC,Agree Realty Corporation Common Stock,427637.0
ADM,Archer,2923624.0
ADPT,Adeptus Health Inc. Common Stock,1058195.0
ADS,Alliance Data Systems Corporation Common Stock,841996.0
ADT,ADT Corporation Common Stock,1550048.0
ADX,Adams Express Company (The),232558.0
AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),
AEC,Associated Estates Realty Corporation Common Stock,
AED,AEGON N.V. Perp. Cap. Securities (Netherlands),
AEE,Ameren Corporation Common Stock,1604879.0
AEG,AEGON N.V. Common Stock,1246582.0
AEH,AEGON N.V. Perp. Cap Secs.,
AEK,Aegon NV 8.00% Non,
AEL,American Equity Investment Life Holding Company Common Stock,508525.0
AEM,Agnico Eagle Mines Limited Common Stock,1216369.0
AEO,"American Eagle Outfitters, Inc. Common Stock",
AEP,"American Electric Power Company, Inc. Common Stock",2379103.0
AER,Aercap Holdings N.V. Ordinary Shares,851551.0
AES,The AES Corporation Common Stock,5152450.0
AES$C,AES Corporation (The) Class C Preferred Stock,
AET,Aetna Inc. Common Stock,
AF,Astoria Financial Corporation Common Stock,
AF$C,Astoria Financial Corporation Depositary Shs Repstg 1/40th Int Perp Pfd Ser C 6.5%,
AFA,"American Financial Group, Inc. 5.75% Senior Notes due 2042",
AFB,AllianceBernstein National Municipal Income Fund Inc,48722.0
AFC,"Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15, 2047",
AFG,"American Financial Group, Inc. Common Stock",347985.0
AFGE,"American Financial Group, Inc. 6.25% Subordinated Debentures due 2054",
AFL,AFLAC Incorporated Common Stock,2810706.0
AFM,"Affiliated Managers Group, Inc. 5.250% Senior Notes due 2022",
AFQ,"American Financial Group, Inc. 7% Senior Notes due 2050",
AFSD,"Aflac Incorporated 5.50% Subordinated Debentures due September 15, 2052",
AFSI$A,"AmTrust Financial Services, Inc. Preferred Series A",
AFSI$B,"AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series B",
AFSI$C,"AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series C",
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,65554.0
AFW,"American Financial Group, Inc. 6 3/8% Senior Notes due 2042",
AG,First Majestic Silver Corp. Ordinary Shares (Canada),
AGC,Advent Claymore Convertible Securities and Income Fund Common Shares of Beneficial Interest,
AGCO,AGCO Corporation Common Stock,418895.0
AGD,Alpine Global Dynamic Dividend Fund Shares of Beneficial Interest,54506.0
AGI,Alamos Gold Inc Ordinary Shares,2396345.0
AGM,Federal Agricultural Mortgage Corporation Common Stock,44400.0
AGM$A,Federal Agricultural Mortgage Corporation 5.875% Non,
AGM$B,Federal Agricultural Mortgage Corporation Non Cumulative Preferred Stock Series B,
AGM$C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,
AGM.A,Federal Agricultural Mortgage Corporation Common Stock,
AGN,"Allergan, Inc. Common Stock",
AGO,Assured Guaranty Ltd. Common Stock,497804.0
AGO$B,Assured Guaranty Ltd.,
AGO$E,Assured Guaranty Ltd.,
AGO$F,Assured Guaranty Ltd.,
AGRO,Adecoagro S.A. Common Shares,375087.0
AGU,Agrium Inc. Common Stock,
AGX,"Argan, Inc. Common Stock",153908.0
AHC,A.H. Belo Corporation Common Stock,44301.0
AHH,"Armada Hoffler Properties, Inc. Common Stock",311245.0
AHL,Aspen Insurance Holdings Limited Ordinary Shares,
AHL$A,Aspen Insurance Holdings Limited Perp Pfd Shares (Bermuda),
AHL$B,Aspen Insurance Holdings Limited Perp Pref Shs (Bermuda),
AHL$C,Aspen Insurance Holdings Limited 5.95% Fixed,
AHP,"Ashford Hospitality Prime, Inc. Common Stock",
AHS,AMN Healthcare Services Inc AMN Healthcare Services Inc,
AHT,Ashford Hospitality Trust Inc Common Stock,507585.0
AHT$A,Ashford Hospitality Trust Inc 8.55% Cum Preferred Series A,
AHT$D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,
AHT$E,Ashford Hospitality Trust Inc 9.00% Series E Cumulative Preferred Stock,
AI,Arlington Asset Investment Corp Class A (new),
AIB,Apollo Investment Corporation 6.625% Senior Notes due 2042,
AIF,Apollo Tactical Income Fund Inc. Common Stock,57345.0
AIG,"American International Group, Inc. New Common Stock",
AIG.W,"American International Group, Inc. Warrant expiring January 19, 2021",
AIN,Albany International Corporation Common Stock,200451.0
AIR,AAR Corp. Common Stock,175261.0
AIT,"Applied Industrial Technologies, Inc. Common Stock",193774.0
AIV,Apartment Investment and Management Company Common Stock,
AIV$A,Apartment Investment and Management Company Preferred Series Class A,
AIV$Z,Apartment Investment and Management Company Class Z Cumulative Preferred Stock,
AIW,Arlington Asset Investment Corp 6.625% Notes due 2023,
AIY,Apollo Investment Corporation 6.875% Senior Notes due 2043,
AIZ,"Assurant, Inc. Common Stock",382546.0
AJG,Arthur J. Gallagher & Co. Common Stock,719611.0
AKO.A,Embotelladora Andina S.A. Common Stock,
AKO.B,Embotelladora Andina S.A. Common Stock,
AKP,Alliance California Municipal Income Fund Inc,
AKR,Acadia Realty Trust Common Stock,541725.0
AKS,AK Steel Holding Corporation Common Stock,8118758.0
AL,Air Lease Corporation Class A Common Stock,577729.0
ALB,Albemarle Corporation Common Stock,1663659.0
ALDW,"Alon USA Partners, LP Common Units representing Limited Partner Interests",
ALE,"Allete, Inc.",
ALEX,"Alexander & Baldwin, Inc. Common Stock",341314.0
ALG,"Alamo Group, Inc. Common Stock",86703.0
ALJ,"Alon USA Energy, Inc. common stick",
ALK,"Alaska Air Group, Inc. Common Stock",989887.0
ALL,Allstate Corporation (The) Common Stock,1592388.0
ALL$A,Allstate Corporation (The) Dep Shs Repstg 1/1000th Perp Pfd Ser A,
ALL$B,Allstate Corporation (The) 5.100% Fixed,
ALL$C,Allstate Corporation (The) Dep Shs Repstg 1/1000th Int Shs Pfd Stk Ser C,
ALL$D,The Allstate Corporation Leopards Each Representing A 1/1000th Interest In A Share Of Fixed Rate Noncumulative Perpetual Preferred Stock Series D,
ALL$E,Allstate Corporation Depositary Shares Representing 1/1000th Perpetual Preferred Series E,
ALL$F,Allstate Corporation (The) Leopards Dep Shares Representing 1/1000th Perp Pfd,
ALLE,Allegion plc Ordinary Shares,613222.0
ALLY,Ally Financial Inc. Common Stock,3589985.0
ALLY$A,"GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities, Series 2",
ALLY$B,"Ally Financial Inc Fixed Rate Floating Rate Perpetual Preferred Stock, Series A",
ALP$N,Alabama Power Company Preferred Stock,
ALP$O,Alabama Power Company Preferred Stock,
ALP$P,Alabama Power Company 5.30% Cl A Pfd Stk,
ALR,Alere Inc. Common Stock,
ALR$B,"Alere Inc. Inverness Medical Innovations, Inc. Series B Convertible Perpetual Preferred Stock",
ALSN,"Allison Transmission Holdings, Inc. Common Stock",1025733.0
ALU,Alcatel,
ALV,"Autoliv, Inc. Common Stock",458185.0
ALX,"Alexander's, Inc. Common Stock",13006.0
AM,Antero Midstream Partners LP Common Units representing limited partner interests,7145885.0
AMBR,"Amber Road, Inc. Common Stock",
AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock",3489704.0
AME,"AMETEK, Inc.",1007569.0
AMFW,AMEC Foster Wheeler plc American Depositary Shares,
AMG,"Affiliated Managers Group, Inc. Common Stock",694925.0
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,1647037.0
AMH$A,American Homes 4 Rent Participating Preferred Shares Series A,
AMH$B,American Homes 4 Rent 5% Series B Participating Preferred Shares of Beneficial Interest,
AMH$C,American Homes 4 Rent Participating Pfd Ser C,
AMID,"American Midstream Partners, LP Common Units representing Limited Partner Interests",
AMP,"Ameriprise Financial, Inc. Common Stock",773783.0
AMRC,"Ameresco, Inc. Class A Common Stock",143735.0
AMRE,"AmREIT, Inc. Common stock",
AMT,American Tower Corporation (REIT) Common Stock,1559041.0
AMT$A,American Tower Corporation (REIT) Pfd Conv Ser A,
AMTD,TD Ameritrade Holding Corporation Common Stock,
AMTG,"Apollo Residential Mortgage, Inc. Common Stock",
AMTG$A,"Apollo Residential Mortgage, Inc. Pfd Shs Series A  (US)",
AMX,"America Movil, S.A.B. de C.V. American Depository Receipt Series L",2372479.0
AN,"AutoNation, Inc. Common Stock",497893.0
ANET,"Arista Networks, Inc. Common Stock",955316.0
ANF,Abercrombie & Fitch Company Common Stock,2187411.0
ANFI,Amira Nature Foods Ltd Ordinary Shares,
ANH,Anworth Mortgage Asset Corporation Common Stock,601375.0
ANH$A,Anworth Mortgage Asset Corporation Series A Preferred Stock,
ANH$B,Anworth Mortgage Asset  Corporation Preferred Stock Series B 6.25%,
ANN,ANN INC. Common Stock,
ANR,"Alpha Natural Resources, inc. comm stock",
ANTM,"Anthem, Inc. Common Stock",
ANW,Aegean Marine Petroleum Network Inc. Common Stock,
AOD,Alpine Total Dynamic Dividend Fund Common Stock,286603.0
AOI,"Alliance One International, Inc. Common Stock",
AOL,AOL Inc. AOL Inc. Common Stock,
AON,Aon plc Class A Ordinary Shares (UK),807295.0
AOS,A.O. Smith Corporation Common Stock,1555477.0
AP,Ampco,24567.0
APA,Apache Corporation Common Stock,6603216.0
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,373280.0
APB,"Asia Pacific Fund, Inc. (The)",
APC,Anadarko Petroleum Corporation Common Stock,
APD,"Air Products and Chemicals, Inc. Common Stock",1103754.0
APF,Morgan Stanley Asia,
APH,Amphenol Corporation Common Stock,
APL,"Atlas Pipeline Partners, L.P. Common Units, No Par Value",
APL$E,"Atlas Pipeline Partners, L.P. Cumulative Redeemable Perpetual Preferred Units Class E",
APO,"Apollo Global Management, LLC Class A Common Shares Representing Class A Limitied Liability Company Interests",
APU,"AmeriGas Partners, L.P. Common Stock",
AR,Antero Resources Corporation Common Stock,10808777.0
ARC,"ARC Document Solutions, Inc. Common Stock",141088.0
ARCO,Arcos Dorados Holdings Inc. Class A Shares,572675.0
ARCX,Arc Logistic Partners LP Common Units representing limited partner interest,
ARDC,"Ares Dynamic Credit Allocation Fund, Inc. Common Shares",92980.0
ARE,"Alexandria Real Estate Equities, Inc. Common Stock",834464.0
ARE$E,"Alexandria Real Estate Equities, Inc. Pfd Ser E",
ARES,Ares Management L.P. Common Units representing Limited Partner Interests,467191.0
ARG,"Airgas, Inc. Common Stock",
ARH$C,Arch Capital Group Ltd. 6.75% PFD sh S C,
ARI,"Apollo Commercial Real Estate Finance, Inc",1036625.0
ARI$A,Apollo Commercial Real Estate Finance Cumulative Redeemable Perpetual Preferred Stock Series A,
ARL,"American Realty Investors, Inc. Common Stock",3296.0
ARMF,Ares Multi,
ARMK,Aramark Common Stock,2134154.0
ARN,Ares Capital Corporation 7.00% Senior Notes due 2022,
ARO,Aeropostale Inc Common Stock,
ARP,"Atlas Resource Partners, L.P. Common Units representing Limited Partner Interests",
ARP$D,"Atlas Resource Partners, L.P. CUM RED PERP PDF UNIT CL D %",
ARPI,"American Residential Properties, Inc. Common Stock",
ARR,"ARMOUR Residential REIT, Inc.",
ARR$A,Armour Residential REIT INC Preferred Series A,
