Label,col-0,col-1,col-2,col-3,col-4,col-5,col-6,col-7,col-8,col-9,col-10,col-11,col-12,col-13,col-14,col-15,col-16,col-17,col-18,col-19,col-20,col-21,col-22,col-23,col-24,col-25,direction,Cluster
0.5036878,0.75278395,0.75520825,0.78444964,0.75924534,0.75718904,0.14636195,0.4574406,0.38713416,0.45310384,0.52638227,0.5149515,0.5043891,0.41876385,0.4601117,0.40268245,0.37916082,0.8251943,0.7633688,0.25372684,0.20366526,0.5444923,0.32283664,0.6895956,0.5487557,0.486405,0.49609262,3.0,1.0
0.4810758,0.4454343,0.44642857,0.46882218,0.45660377,0.37702498,0.023920102,0.52495617,0.42490524,0.43540412,0.55372465,0.4987766,0.5515214,0.5364118,0.5490242,0.5243574,0.5175795,0.43078095,0.43488824,0.6705802,0.64981014,0.6103123,0.80828166,0.9635302,0.91865635,0.4877962,0.21800818,3.0,0.0
0.43662587,0.42761692,0.42559525,0.4526559,0.4332076,0.38005263,0.011639103,0.45628616,0.3753745,0.38142362,0.46257403,0.42579162,0.4462573,0.45525983,0.46569175,0.45485413,0.43983844,0.45854113,0.4433594,0.45141694,0.43924022,0.52123815,0.3699612,0.3313435,0.2685649,0.33915523,0.11104823,3.0,2.0
0.39033356,0.13956942,0.14136904,0.13933797,0.12603775,0.06279092,0.014121734,0.41154784,0.34697413,0.29947025,0.3873477,0.3954487,0.43093762,0.4880229,0.49972737,0.43947047,0.43367654,0.14977092,0.17044005,0.56283087,0.6169344,0.406137,0.4307303,0.2641673,0.47282514,0.34335974,0.74613196,3.0,2.0
0.48917755,0.78544915,0.7842262,0.8221709,0.7984906,0.81333613,0.05613767,0.47339928,0.37714648,0.418534,0.5019098,0.50781435,0.5659994,0.6044705,0.56090474,0.52795315,0.54997957,0.80532914,0.7370785,0.5929341,0.56326735,0.60586274,0.59636974,0.77107143,0.8438488,0.49696377,0.33926284,3.0,1.0
0.4183898,0.4825538,0.4784226,0.5034642,0.4830189,0.3964684,0.010742335,0.40585223,0.37915578,0.38486966,0.47749928,0.44047678,0.45560044,0.46220464,0.4850234,0.4874632,0.45627847,0.487628,0.4701112,0.6594803,0.6997234,0.4682802,0.6572024,0.70033133,0.6838991,0.5098671,0.20684648,3.0,0.0
0.38936123,0.83741647,0.84523803,0.8768284,0.8603774,0.8291516,0.041732743,0.58556974,0.33663762,0.390687,0.44752765,0.44295314,0.49502304,0.5143097,0.50781316,0.4851138,0.49609292,0.85609806,0.85440725,0.7196039,0.74480146,0.52151996,0.6548688,0.6420813,0.6825572,0.7467324,0.37147707,3.0,1.0
0.427391,0.22494434,0.22172618,0.23479602,0.22415096,0.12215785,0.0036720284,0.4229239,0.3815016,0.4059524,0.48124215,0.43179414,0.45917222,0.47527716,0.5065042,0.4754053,0.47256088,0.24062298,0.19505823,0.4087989,0.35649246,0.5988107,0.39979506,0.694444,0.52796066,0.330857,0.24514337,3.0,0.0
0.4370044,0.13066074,0.12500001,0.12625097,0.114716984,0.057150993,0.00754229,0.36063433,0.31037945,0.39963773,0.49648395,0.42833105,0.42320856,0.44370595,0.45920417,0.43669567,0.43091053,0.14932324,0.1534067,0.3376443,0.29035792,0.56482893,0.31124634,0.6603192,0.52429914,0.38907197,0.45039377,3.0,2.0
0.47518888,0.16629545,0.20461309,0.18013859,0.20301886,0.10114224,0.020502945,0.67035675,0.46520162,0.38497937,0.43695533,0.43161947,0.41238827,0.41711602,0.45082006,0.4242102,0.4018672,0.19628513,0.24365094,0.6570061,0.77049893,0.30120757,0.5148928,0.24616456,0.19105414,0.3808378,0.82523096,3.0,2.0
0.47158223,0.23682258,0.23958334,0.25558123,0.24679248,0.12920216,0.0029640538,0.48032147,0.36667857,0.3726173,0.4748354,0.40801063,0.42078277,0.44744226,0.47258872,0.44167733,0.45551166,0.25830844,0.26820615,0.5249381,0.54536617,0.47055742,0.45732784,0.20684715,0.15154658,0.35172898,0.21685663,3.0,2.0
0.398178,0.37787676,0.3764881,0.3949192,0.37886795,0.24779539,0.009619015,0.3930226,0.41114545,0.4013996,0.5410388,0.4982546,0.50738156,0.5236225,0.5457829,0.51631176,0.52264005,0.36926416,0.3475425,0.5892063,0.5500928,0.626125,0.63364923,0.8639127,0.9200458,0.47184396,0.21831055,3.0,0.0
0.4594839,0.34743872,0.34374997,0.35796767,0.34339622,0.20938978,0.010515783,0.38634735,0.32785967,0.30465186,0.42081708,0.35275486,0.38885897,0.41515622,0.46047738,0.42027774,0.42767018,0.36265007,0.38230267,0.5266882,0.5325687,0.5041381,0.38360843,0.08898899,0.14709747,0.5027762,0.27976912,3.0,2.0
0.4446716,0.3266518,0.32440475,0.34411088,0.32528305,0.2097972,0.003738106,0.40419003,0.3532498,0.38639143,0.47817075,0.45382345,0.46393812,0.4908155,0.49129194,0.46049625,0.45022213,0.34665734,0.30969438,0.436305,0.40044466,0.5702066,0.39803776,0.7907729,0.8347085,0.47015515,0.1950385,3.0,0.0
0.41578984,0.268003,0.27008927,0.27636644,0.26339623,0.13122176,0.0031434074,0.39457673,0.35823408,0.35077578,0.38933226,0.35270163,0.3350999,0.30189228,0.35719824,0.28825644,0.25526884,0.33675256,0.3691527,0.39613104,0.5140096,0.20844567,0.28498766,0.18688227,0.11264506,0.4221696,0.85681117,3.0,2.0
0.45397577,0.32145506,0.3206845,0.33949193,0.32754716,0.16318117,0.0017085788,0.47518888,0.36949366,0.3678779,0.44687665,0.40860203,0.43866614,0.5160906,0.56959456,0.52270734,0.5180404,0.30158097,0.29746467,0.7000895,0.68928516,0.59705526,0.6518465,0.5566281,0.6955401,0.4260107,0.43011412,3.0,0.0
0.33611566,0.30586487,0.3065476,0.31408775,0.3064151,0.15979563,0.015773674,0.4497326,0.3695778,0.3751337,0.44826654,0.44865206,0.5640706,0.5724131,0.5793863,0.5648767,0.5445348,0.27346787,0.26241353,0.68229115,0.62815267,0.68978035,0.73561895,0.67621714,0.7672377,0.35215968,0.39704558,3.0,0.0
0.58764297,0.46250924,0.46205357,0.4834488,0.4626415,0.3814692,0.016887555,0.39958382,0.3167697,0.26935896,0.40420482,0.36274338,0.37338138,0.41200504,0.43134516,0.40137586,0.39702004,0.49717334,0.4884632,0.5778095,0.64667743,0.37737432,0.4003033,0.054509364,0.24093764,0.4980992,0.2292052,3.0,2.0
0.45600063,0.47364515,0.47321424,0.49961507,0.4807547,0.3948018,0.012696345,0.46226943,0.36251992,0.3632112,0.46284023,0.46476883,0.46016812,0.46438715,0.505669,0.49156234,0.48692912,0.4769651,0.4631234,0.6849164,0.71962243,0.48892406,0.6920544,0.65757716,0.7760393,0.50528973,0.20778713,3.0,0.0
