Label,col-0,col-1,col-2,col-3,col-4,col-5,col-6,col-7,col-8,col-9,col-10,col-11,col-12,col-13,col-14,col-15,col-16,col-17,col-18,col-19,col-20,col-21,col-22,col-23,col-24,col-25,direction,Cluster
0.54119426,0.19185649,0.1714483,0.1951852,0.2231434,0.2231434,0.081865944,0.74074084,0.706536,0.8788624,0.8170478,0.6774194,0.68790644,0.5647827,0.41345763,0.5194698,0.56390667,0.38674435,0.28957874,0.11321224,0.020383095,0.6741703,0.31447005,0.9020672,0.5731316,0.40754637,0.46173853,2.0,0.0
0.664399,0.046238787,0.019011382,0.04444447,0.056649443,0.056649443,0.0818173,0.68178385,0.6705882,0.69789124,0.72141373,0.5989409,0.58820987,0.3695653,0.29023102,0.382353,0.4111736,0.15958822,0.1270639,0.12059309,0.057062224,0.61098,0.1746729,0.554851,0.3588424,0.1528214,0.34921277,3.0,0.0
0.6160243,0.59592825,0.5810577,0.58481485,0.54542315,0.54542315,0.20931025,0.58427817,0.446405,0.71701825,0.56288975,0.5214251,0.63372344,0.35173908,0.31333598,0.0,0.11816699,0.99551636,0.83994514,0.4831959,0.68565524,0.16212846,0.34370986,0.5261297,0.45340037,0.6891982,0.9628044,2.0,1.0
0.7460317,0.1673568,0.15520221,0.1466667,0.18618312,0.18618312,0.39590427,0.6606198,0.57058823,0.67042685,0.5197506,0.32450664,0.27394885,0.04304371,0.07012563,0.16942835,0.17202567,0.80848736,0.43884468,0.018308697,0.18295014,0.05138799,0.013069787,0.12769051,0.023459949,0.4964587,0.69039667,1.0,1.0
0.7966742,0.15769501,0.1316972,0.1677778,0.1426598,0.1426598,0.13114116,0.6281179,0.6084967,0.6557137,0.7151767,0.6485317,0.64759433,0.5682609,0.52047014,0.5675228,0.5180868,0.052263577,0.08215181,0.54834044,0.5588337,0.62409425,0.50650245,0.5565368,0.58082384,0.0,0.03613265,1.0,0.0
0.7966742,0.087301604,0.1009333,0.10929631,0.13644217,0.13644217,0.22380581,0.765684,0.71372545,0.69592947,0.64604986,0.61001456,0.6775033,0.5782609,0.50608027,0.46437454,0.5759645,0.0016398715,0.21145806,0.42434022,0.36192858,0.73672426,0.47088498,0.3340229,0.37861374,0.2021384,0.25414535,1.0,0.0
0.6198034,0.15838508,0.16833735,0.1781482,0.22072545,0.22072545,0.15458702,0.7944067,0.68104583,0.7248652,0.5987526,0.59605217,0.69397485,0.5752174,0.5622213,0.6114333,0.7114147,0.06700774,0.11323091,0.6317947,0.6470176,0.6486342,0.6573255,0.51077324,0.51643664,0.33855236,0.05158324,2.0,0.0
0.6152686,1.0,1.0,0.7241112,0.69222796,0.69222796,0.443477,0.0,0.19281007,0.3815596,0.3497919,0.42994714,0.6007801,0.5208696,0.54600716,0.4925435,0.46583584,0.8677938,0.62755543,0.92437315,1.0,0.6354896,0.46350104,0.6748802,0.8691209,0.8105243,0.9647985,2.0,1.0
0.8382463,0.21601103,0.21361904,0.20981485,0.19620037,0.19620037,0.31141162,0.6198034,0.6908496,0.6895538,0.63825357,0.49687055,0.59254444,0.5704348,0.52411824,0.5940348,0.5952571,0.07046593,0.118898004,0.6332437,0.65702164,0.6298846,0.58196217,0.508749,0.46350896,0.23480123,0.075833715,1.0,0.0
0.6424791,0.1487233,0.10127897,0.12370371,0.10293615,0.10293615,0.14009145,0.5857899,0.5437909,0.5870526,0.36278588,0.36831984,0.44993502,0.39826095,0.38102955,0.40596527,0.44815108,0.5459633,0.34104922,0.0089397365,0.018107796,0.39929605,0.015670411,0.005460021,0.1057264,0.25364625,0.5394865,2.0,0.0
0.7944067,0.19220157,0.15589355,0.15774077,0.16545773,0.16545773,0.38228428,0.60846573,0.5771241,0.5743012,0.5857588,0.59749645,0.5986129,0.5156523,0.48561,0.63545984,0.65514463,0.064061165,0.107327685,0.61757845,0.6349425,0.6377848,0.5153816,0.42225516,0.60744256,0.24566048,0.041719105,1.0,0.0
0.69841254,0.50897175,0.50086415,0.5362222,0.54024184,0.54024184,0.8475046,0.7626607,0.672549,0.68072605,0.5670479,0.42128077,0.61508465,0.4352176,0.4422375,0.57497936,0.41358507,0.9962346,0.7748555,0.4023738,0.56629336,0.2152185,0.35699806,0.11699293,0.14495294,0.773417,0.78779393,3.0,1.0
0.649282,0.16011046,0.12270997,0.17703706,0.16269433,0.16269433,0.2569316,0.6470143,0.5849673,0.5473272,0.4724533,0.51901793,0.52319026,0.4995653,0.44750708,0.506628,0.46302244,0.10024338,0.2979917,0.6258038,0.6968445,0.5197784,0.44628066,0.14358331,0.3849869,0.56582755,0.072027355,3.0,0.0
0.69161,0.09420294,0.14811614,0.096851915,0.18411054,0.18411054,0.34643447,0.8820862,0.78627443,0.74644434,0.6876299,0.5796823,0.46987432,0.4269566,0.4442642,0.54266775,0.550241,0.4620113,0.3167871,0.033644613,0.0,0.5066222,0.22791526,0.28804952,0.070904896,0.35278124,0.5254762,3.0,0.0
0.6061981,0.13975158,0.120636016,0.16481484,0.14473233,0.14473233,0.18391867,0.6659108,0.54183006,0.69985294,0.7120581,0.6369765,0.6133507,0.5217392,0.5326307,0.6329744,0.63866544,0.0023197639,0.07320202,0.49304202,0.43755686,0.75006217,0.48262632,0.65266824,0.6079164,0.11769874,0.24122378,2.0,0.0
0.8163265,0.7311939,0.7037677,0.7685185,0.70742667,0.70742667,0.023348575,0.5948601,0.5633988,0.55223155,0.7167359,0.66008675,0.72735167,0.65130436,0.7020672,0.79577464,0.9075562,0.6480035,0.50030255,0.8281672,0.7692934,0.8992599,0.72001785,0.8122717,0.8836104,0.7700411,0.50076854,1.0,2.0
0.68178385,0.03968259,0.03594881,0.047037054,0.052849766,0.052849766,0.07675844,0.7089947,0.6385621,0.76311934,0.66632015,0.55175745,0.45817077,0.28869575,0.3218484,0.38773823,0.5176848,0.18396267,0.14774872,0.10169644,0.049146503,0.57814777,0.16461408,0.40189046,0.20197263,0.13315555,0.38760307,3.0,0.0
0.782313,0.032091107,0.013826465,0.002222273,0.0,0.0,0.2501216,0.6016628,0.51372546,0.4570868,0.30041566,0.2975446,0.36497617,0.39130446,0.36481547,0.37365365,0.38504812,0.26352808,0.22674623,0.07356817,0.045044616,0.5118927,0.018608162,0.04674381,0.25971377,0.1260914,0.44636574,1.0,0.0
0.547241,0.5217391,0.61596954,0.5444445,0.6438688,0.6438688,0.2696274,0.93348473,0.7267975,0.7827368,0.8295219,0.53538764,0.5353274,0.05478286,0.15605992,0.22825196,0.28175232,0.9788195,0.8905573,0.5450658,0.7689729,0.13971695,0.4579572,0.38738573,0.1925642,0.829227,1.0,2.0,1.0
0.77551025,0.13837129,0.15312827,0.17,0.19896375,0.19896375,0.28480396,0.7966742,0.6999999,0.7498775,0.6865904,0.71738094,0.7412224,0.6256522,0.6124847,0.6483016,0.6467041,0.054680467,0.085156344,0.5726726,0.57209975,0.6594148,0.6615906,0.64378786,0.60696757,0.11152787,0.039099198,1.0,0.0
0.5948601,0.7429261,0.7189769,0.7572964,0.74335074,0.74335074,0.06007394,0.6719579,0.5196078,0.81510556,0.7920998,0.7616758,0.78890336,0.78043485,0.7730036,0.946976,1.0,0.6390791,0.46121663,0.820839,0.7295332,0.9695646,0.80112267,0.9037998,0.94876486,0.80339634,0.54153025,2.0,2.0
0.7324262,0.12974465,0.09229175,0.12259264,0.11398968,0.11398968,0.14758246,0.6061981,0.5679738,0.576263,0.6023908,0.5931633,0.6215865,0.48173922,0.46696392,0.5563381,0.6089228,0.00520761,0.07631474,0.492417,0.45603198,0.7065711,0.40655863,0.4281406,0.565967,0.08431293,0.21362083,1.0,0.0
0.5313682,0.36300904,0.32146567,0.28629634,0.26355785,0.26355785,0.18007588,0.46409672,0.29346374,0.27905837,0.21985427,0.23688006,0.27524918,0.14826101,0.10701253,0.089063704,0.255225,0.9289931,0.6696725,0.22475731,0.4139731,0.08295824,0.057979103,0.08499498,0.16198562,0.5336685,0.80023897,2.0,1.0
0.649282,0.17011732,0.11959901,0.1444445,0.12400692,0.12400692,0.2010896,0.55479974,0.6006536,0.7023051,0.6049895,0.5320174,0.5097529,0.48739135,0.5204701,0.5816073,0.5514468,0.01471593,0.08528434,0.5221127,0.50667995,0.6716932,0.43285605,0.43017676,0.37268177,0.090370186,0.1584196,3.0,0.0
0.8820862,0.090752274,0.071206346,0.09555555,0.08877374,0.08877374,0.09991244,0.6424791,0.5300652,0.6012752,0.50779617,0.29272994,0.40052015,0.3386957,0.37130105,0.4212924,0.4079581,0.50366765,0.33170724,0.0,0.0036120438,0.4080949,0.0,0.017065281,0.0005579769,0.2232731,0.49455914,1.0,0.0
0.6077098,0.12663905,0.11113033,0.061111167,0.062867,0.062867,0.28081524,0.45502636,0.32941154,0.50416875,0.45374212,0.5296101,0.5457303,0.40217394,0.38346162,0.41176465,0.30144686,0.3225725,0.26553744,0.114187784,0.045477774,0.6199963,0.09041639,0.56964064,0.7557942,0.27058956,0.49068132,2.0,0.0
0.7089947,0.047619082,0.009540238,0.037592642,0.036614902,0.036614902,0.10234459,0.64474684,0.70196086,0.69347733,0.59667367,0.38998565,0.36194193,0.3069567,0.31252536,0.48260155,0.482315,0.20954107,0.17180085,0.08593236,0.044857554,0.54552007,0.123339035,0.1834622,0.07871265,0.14657265,0.41394484,1.0,0.0
0.6470143,0.17287785,0.13480815,0.17703706,0.17478417,0.17478417,0.5297694,0.64474684,0.46797386,0.5507604,0.60395014,0.5016852,0.60771567,0.47739145,0.46209967,0.46023202,0.53135043,0.09310791,0.30093345,0.64493585,0.6990033,0.5662717,0.4775085,0.3929419,0.6004097,0.57070184,0.109812215,3.0,0.0
0.6303855,0.5224293,0.5292084,0.55814815,0.519171,0.519171,0.1643156,0.6160243,0.5058824,0.51103485,0.62733895,0.46124235,0.52319026,0.5078262,0.31374127,0.337614,0.0,0.99962276,0.81689316,0.4470291,0.64373916,0.1598663,0.31371444,0.29074606,0.41985986,0.6241822,0.9128468,2.0,1.0
0.69614536,0.6566598,0.6467336,0.68370366,0.67806566,0.67806566,0.0,0.7551019,0.5228757,0.5537028,0.59199566,0.47472307,0.51322067,0.34565216,0.51398444,0.5911349,0.647106,0.70028293,0.78693277,0.80670285,0.8649511,0.62512666,0.5985553,0.2543106,0.42550203,0.7451737,0.545499,3.0,1.0
0.80876803,0.6659765,0.6429313,0.5537037,0.5153714,0.5153714,0.15147388,0.34467104,0.29803914,0.0,0.020270042,0.018295674,0.13524053,0.15782627,0.28252926,0.35004148,0.41358507,0.9160865,1.0,0.7366996,0.95689505,0.2290469,0.2627428,0.0,0.31674284,0.6816294,0.99076176,1.0,1.0
0.7460318,0.076259516,0.06774972,0.09148153,0.07150258,0.07150258,0.07880144,0.6621314,0.5428104,0.5002453,0.5597712,0.5929225,0.6198526,0.5217391,0.50749886,0.5869925,0.5848069,0.04892962,0.03550821,0.31282246,0.21979278,0.7589227,0.2960487,0.30333096,0.5683682,0.15471786,0.3010555,1.0,0.0
1.0,0.49861968,0.6301417,0.47962967,0.65388614,0.65388614,0.39147776,0.70445955,0.72941196,0.7793037,0.8331601,0.78237855,0.9042046,0.86695665,0.73530596,0.7464789,0.7580386,0.6230056,0.3787281,0.6663717,0.58052284,0.8919806,0.7433493,0.9760791,0.99752885,0.6898437,0.4592408,1.0,2.0
0.60846573,0.20186336,0.1540615,0.20703705,0.19516407,0.19516407,0.2640821,0.67422515,0.53725475,0.68268764,0.7151766,0.61001444,0.64586043,0.5404348,0.60883653,0.67937034,0.6684082,0.061914198,0.1011785,0.6239268,0.62406576,0.67944926,0.6068158,0.6612485,0.72662437,0.27183604,0.024273956,2.0,0.0
0.48790628,0.13354039,0.15174557,0.14814815,0.20379965,0.20379965,0.123552874,0.85185176,0.9199346,0.90289366,0.85758823,0.7761195,0.80580837,0.6969565,0.72476685,0.75020707,0.72347254,0.083240435,0.0030704862,0.270733,0.13478273,0.8382848,0.55201596,0.8001558,0.6875925,0.35571954,0.27693233,2.0,0.0
0.58427817,0.63423043,0.6431732,0.63407403,0.5861831,0.5861831,0.07233194,0.547241,0.74836606,0.67680246,0.649688,0.6644199,0.49631545,0.3695653,0.0,0.13918795,0.1848874,0.98825437,0.8644686,0.5183592,0.7273214,0.16226123,0.39020228,0.49913624,0.32909784,0.7752624,0.98874474,2.0,1.0
0.728647,0.06832303,0.068786725,0.08592599,0.10466324,0.10466324,0.08906508,0.7460318,0.68562084,0.66772944,0.48700625,0.54116523,0.6621153,0.5686957,0.5419537,0.6072908,0.63866544,0.037755452,0.04650936,0.3334084,0.24408469,0.7592291,0.3762842,0.23442392,0.36596859,0.18069403,0.27946055,1.0,0.0
0.59183675,0.12422361,0.11303141,0.13222228,0.1309154,0.1309154,0.10035023,0.675737,0.68235296,0.77243763,0.7177754,0.58233047,0.5045514,0.5139131,0.5782326,0.6391881,0.6459002,0.018415805,0.06657105,0.3854792,0.2966894,0.78001124,0.43783626,0.50903195,0.32643172,0.18491228,0.23100376,2.0,0.0
0.7551019,0.71049005,0.7421362,0.68740743,0.64076,0.64076,0.038914293,0.46485275,0.38300645,0.5934282,0.4818086,0.42176232,0.39228433,0.48652175,0.486826,0.5907209,0.61897093,0.6844918,0.5916023,0.8235085,0.8554726,0.6917097,0.5385405,0.42377248,0.6139655,0.7306536,0.5668418,1.0,1.0
0.64474684,0.19772261,0.15623915,0.20481484,0.18791021,0.18791021,0.84696954,0.5117158,0.47450984,0.676312,0.58679825,0.597015,0.5869095,0.49434787,0.41791645,0.5318973,0.61213815,0.0862209,0.1560984,0.66250956,0.6960262,0.62020355,0.5107542,0.67900807,0.7251845,0.5029221,0.13800223,3.0,0.0
0.83824617,0.9061421,0.88731426,0.8274074,0.9246979,0.9246979,0.1339138,0.70975083,0.7124184,0.87984335,0.991684,0.90948516,0.9523191,0.74043494,0.66396433,0.8057167,0.7704983,0.8127271,0.59279877,0.948693,0.9536632,0.80566925,0.9215357,0.9702658,0.9196449,0.9562156,0.6967442,1.0,2.0
0.6659108,0.19565217,0.16591771,0.1614815,0.14818656,0.14818656,0.17813016,0.5759638,0.6549019,0.76459056,0.71829516,0.5897931,0.6189857,0.55782616,0.5755979,0.63090307,0.5934485,0.00047434322,0.07002577,0.4806351,0.4142776,0.7694286,0.4911669,0.65617895,0.49732488,0.18455116,0.28237984,3.0,0.0
0.6281179,0.15010352,0.12962323,0.16518523,0.1633852,0.1633852,0.11153809,0.69085425,0.6287582,0.7920551,0.75675684,0.65190196,0.6870395,0.5665218,0.53182,0.5273406,0.58561087,0.04926392,0.07908595,0.5432603,0.54946935,0.63164485,0.5734597,0.6547972,0.5327287,0.07857891,0.05294011,2.0,0.0
0.0,0.9085576,0.96923614,1.0,1.0,1.0,0.10142037,0.83824617,0.80653596,0.8548308,0.9527027,1.0,1.0,0.9552173,0.7952978,0.81772983,0.8999194,0.84044003,0.6056108,1.0,0.98937684,0.86262757,1.0,0.9653133,0.97277975,1.0,0.6923244,2.0,2.0
