Label,col-0,col-1,col-2,col-3,col-4,col-5,col-6,col-7,col-8,col-9,col-10,col-11,col-12,col-13,col-14,col-15,col-16,col-17,col-18,col-19,col-20,col-21,col-22,col-23,col-24,col-25,direction,Cluster
0.571317,0.94090575,0.95434016,0.95309633,0.95213795,0.95706093,0.043972723,0.596051,0.5100173,0.64008427,0.63453305,0.6749356,0.6227497,0.57733023,0.68483365,0.65775377,0.7728079,0.9079699,0.91567695,0.9501702,0.96393317,0.6131557,0.84698135,0.6890161,0.6749969,0.92269295,0.455312,3.0,1.0
0.54270697,0.48110917,0.4893175,0.4910223,0.49635568,0.49294168,0.10488539,0.5917752,0.5291222,0.60349715,0.5813355,0.57464343,0.5882502,0.58472985,0.5503182,0.49197906,0.5284896,0.48585376,0.47491267,0.5723395,0.59816587,0.47770232,0.62054354,0.6406007,0.64545494,0.8948189,0.12350055,3.0,2.0
0.55935,0.6322354,0.6286168,0.63600826,0.6337463,0.62688696,0.06722489,0.5122974,0.5276805,0.6043164,0.61388665,0.653383,0.6480519,0.61787206,0.6154324,0.65843236,0.71597975,0.60746646,0.5926621,0.6988121,0.6944071,0.5797428,0.77267814,0.8611167,0.93034893,0.93969905,0.13980529,3.0,1.0
0.49865273,0.19326714,0.18593578,0.16196406,0.16460155,0.08310234,0.3450411,0.48290482,0.5117531,0.41771966,0.35991627,0.4036836,0.36026746,0.5845181,0.5162088,0.3944671,0.40098557,0.22528538,0.14610744,0.14390567,0.18699616,0.31634712,0.28584614,0.16718723,0.38271192,0.09913951,0.9418233,3.0,0.0
0.5632166,0.87115526,0.88426316,0.88103086,0.8918853,0.90889406,0.04331742,0.62288433,0.631626,0.7247713,0.7040788,0.7568971,0.73107713,0.6476035,0.7122665,0.72346294,0.791609,0.8630789,0.809481,0.5194883,0.363697,0.8555474,0.6678579,0.86897,0.7934025,0.9050001,0.5644474,3.0,1.0
0.52200353,0.524219,0.5222806,0.531208,0.529519,0.5206097,0.07205848,0.55420816,0.5312596,0.5974974,0.62804794,0.6103597,0.63881123,0.60157096,0.6350632,0.63049394,0.63180697,0.49617222,0.518071,0.6767518,0.66965395,0.5791878,0.82257164,0.79729074,0.77653414,0.89556456,0.076730095,3.0,2.0
0.47598472,0.80213124,0.80661696,0.8092097,0.8063654,0.8207625,0.09205651,0.51535314,0.42625278,0.56268,0.47944698,0.49283516,0.5060636,0.50915956,0.5204282,0.49435878,0.5505198,0.8354012,0.822028,0.5265534,0.55748117,0.4534095,0.45436963,0.3878245,0.431182,0.8892579,0.31984913,3.0,1.0
0.5238682,0.25986922,0.2541814,0.26187855,0.25862488,0.19271183,0.1395102,0.52014554,0.5330237,0.6136331,0.6244432,0.60069466,0.5892671,0.6054758,0.6308746,0.56983674,0.6430667,0.20655008,0.2269995,0.6958172,0.6871107,0.58818716,0.77435446,0.88451016,0.9216942,0.4092901,0.1368162,3.0,2.0
0.5511996,0.060789563,0.057868365,0.043361414,0.046161313,0.028989438,0.19602896,0.46693626,0.5133889,0.5889491,0.59152836,0.5494353,0.4396673,0.42584202,0.4220179,0.436108,0.44310132,0.087311566,0.038289007,0.038667947,0.0015151117,0.45959163,0.2703353,0.5288292,0.3668095,0.063887045,0.6076081,3.0,0.0
0.6284481,0.14337614,0.15956537,0.14865027,0.17018953,0.08640437,0.30395845,0.6387665,0.6470299,0.682248,0.68712544,0.69472104,0.5761637,0.6120387,0.66149116,0.5942785,0.6030244,0.11195818,0.17254525,0.4785328,0.4071449,0.660991,0.622205,0.66179734,0.45439088,0.10058323,0.61314803,1.0,2.0
