Label,col-0,col-1,col-2,col-3,col-4,col-5,col-6,col-7,col-8,col-9,col-10,col-11,col-12,col-13,col-14,col-15,col-16,col-17,col-18,col-19,col-20,col-21,col-22,col-23,col-24,col-25,direction,Cluster
0.5018279,0.80466,0.8098109,0.7997267,0.79219717,0.7825399,0.18810038,0.47716364,0.66436344,0.79746896,0.7855728,0.81953496,0.7669919,0.7677953,0.7365748,0.5733653,0.5274608,0.83536935,0.69089955,0.35245943,0.26229393,0.5372531,0.51834404,0.89880425,0.9173825,0.8629041,0.63581634,3.0,0.0
0.45601875,0.24681655,0.23540695,0.24153006,0.23679218,0.18439776,0.13264649,0.44918442,0.5657453,0.52557844,0.5452651,0.47092465,0.41022596,0.42484263,0.42202392,0.43344566,0.4894276,0.21906352,0.2645092,0.40258327,0.3095261,0.55681664,0.3292948,0.3129777,0.32166365,0.29608884,0.16263787,3.0,1.0
0.55977887,0.05635329,0.051520992,0.028415274,0.031698726,0.022347016,0.3194455,0.45886523,0.6687715,0.6781401,0.6556541,0.57545465,0.4319423,0.42592376,0.40238664,0.45280084,0.45342365,0.06862439,0.0,0.15557003,0.07807028,0.45754528,0.3351087,0.6362141,0.40279058,0.10319875,0.5851492,3.0,1.0
0.5243025,0.20211323,0.20718002,0.20054644,0.22162016,0.14401227,0.3200181,0.6503203,0.7833085,0.665282,0.6633314,0.5501228,0.40532237,0.37337723,0.41614097,0.3797967,0.40489402,0.24939862,0.18026209,0.22935972,0.19754656,0.37702245,0.3629866,0.43076465,0.2441192,0.04449743,0.587114,3.0,1.0
0.5071913,0.31725818,0.31268838,0.3273224,0.32348958,0.24380106,0.10969052,0.51058835,0.52392167,0.50055563,0.5011892,0.46659023,0.42836,0.4034221,0.42914778,0.43225318,0.46928704,0.3176309,0.3537838,0.554205,0.55520517,0.39096278,0.42019287,0.20020488,0.34240136,0.35787523,0.06180448,3.0,1.0
0.52445865,0.4806285,0.47355434,0.4825137,0.47819015,0.40533948,0.1174266,0.4772731,0.76492476,0.6774056,0.6394114,0.644182,0.5754143,0.48897964,0.48380977,0.46562043,0.43092442,0.49996877,0.42872426,0.40255937,0.3690985,0.42635784,0.47098482,0.77624017,0.6164677,0.6109848,0.3896807,3.0,2.0
0.43107718,0.57707936,0.5727597,0.586612,0.58087236,0.49613816,0.14899154,0.49360594,0.6331962,0.57542926,0.54842526,0.46104825,0.39739218,0.40740272,0.4169207,0.44827077,0.43344685,0.5878738,0.6092271,0.54893744,0.54847646,0.39277035,0.47294623,0.24550089,0.1541877,0.6846879,0.21822418,3.0,2.0
0.26769233,0.82768893,0.8320087,0.8308744,0.8369006,0.8317508,0.07875422,0.56200236,0.6773173,0.5583559,0.6160893,0.65129435,0.5560796,0.52316403,0.5630142,0.72041357,0.75257826,0.8097239,0.7756734,0.60944086,0.50895107,0.6277013,0.63655543,0.62239015,0.6947129,0.9227676,0.49095222,2.0,0.0
0.49360594,0.20834458,0.19649218,0.20819674,0.20753182,0.1403146,0.13446839,0.4494609,0.6397948,0.54216665,0.5528036,0.56966746,0.5140568,0.44227344,0.444219,0.45362955,0.45090362,0.2106486,0.19450654,0.45683748,0.44202846,0.39986083,0.40598089,0.5629579,0.5685743,0.048109964,0.19812547,3.0,1.0
0.43311152,0.26063395,0.24828717,0.26120216,0.2600921,0.1769354,0.18513729,0.49851134,0.5674007,0.5229414,0.582841,0.51823646,0.45029682,0.4624032,0.48140052,0.49250454,0.5256243,0.20611702,0.2522867,0.6904027,0.6824723,0.44647047,0.6314817,0.52947825,0.54675573,0.08663123,0.23574688,3.0,1.0
0.49360594,0.3958277,0.38448885,0.39289615,0.38309404,0.28693464,0.1237532,0.4630398,0.56597817,0.5425923,0.5427874,0.4799445,0.45608202,0.4913748,0.51121104,0.5171842,0.52607393,0.32916325,0.36684906,0.68885094,0.651889,0.509609,0.67644197,0.4041628,0.49077177,0.37609497,0.11027687,3.0,2.0
0.50825495,0.78488207,0.7985749,0.7978142,0.79869956,0.80934733,0.0966529,0.7740397,0.9104765,0.68787026,0.69775283,0.7308611,0.7627523,0.6925956,0.74844205,0.635378,0.6866333,0.76975703,0.70846796,0.45895612,0.313548,0.6862932,0.60504544,0.6945032,0.7118219,0.93353224,0.6781805,3.0,0.0
0.5349806,0.3958277,0.3962729,0.40273222,0.4091032,0.37794933,0.07708848,0.5801144,0.7199422,0.80392677,0.6584135,0.6882198,0.67353445,0.6321816,0.5587708,0.6120758,0.63812965,0.32761434,0.33537897,0.5658604,0.4302848,0.6929955,0.63510185,0.99042064,0.85444725,0.7124151,0.47276962,3.0,2.0
0.46876055,0.5147656,0.51055086,0.51912564,0.51747495,0.4782902,0.12955526,0.5547632,0.6314631,0.60921395,0.580925,0.6076286,0.5232844,0.4232334,0.46492264,0.469498,0.5267942,0.50528705,0.48756355,0.5847906,0.57527035,0.42206657,0.58350086,0.7644483,0.65656847,0.81701565,0.1620527,3.0,2.0
0.6438984,0.620699,0.6119485,0.60792345,0.609049,0.5724382,0.15687577,0.41162696,0.47091278,0.4399789,0.4756711,0.40875974,0.41357085,0.40921476,0.42144307,0.43755883,0.34683433,0.6594527,0.6414527,0.41219938,0.38147494,0.4229132,0.29816556,0.28055108,0.35938275,0.87372744,0.32361573,1.0,0.0
0.38536057,0.24898398,0.2430803,0.25245902,0.25521538,0.16714193,0.19901977,0.56953895,0.6539227,0.66333836,0.6675558,0.69853485,0.6790114,0.61733073,0.61883605,0.5633433,0.51096475,0.23420472,0.19250093,0.34976804,0.2282743,0.60511804,0.5042323,0.9670437,0.95365214,0.06273338,0.5053542,2.0,1.0
0.5955188,0.4107288,0.4042203,0.4166666,0.41479272,0.33334935,0.093685806,0.5761922,0.6846523,0.6257755,0.6253992,0.5918896,0.5564448,0.4999607,0.49873587,0.5146271,0.53162915,0.41442508,0.38459477,0.44613388,0.40089297,0.46364826,0.4994061,0.8067656,0.72425216,0.44024107,0.10410021,1.0,2.0
0.57652384,0.16716337,0.15620719,0.15956284,0.15388784,0.10031713,0.19986065,0.4253198,0.51514024,0.6237562,0.7146675,0.6792746,0.63551295,0.55832434,0.56842893,0.620329,0.6396412,0.06875183,0.11056306,0.62628734,0.5110038,0.66453177,0.67024666,0.84505296,0.8906231,0.05342375,0.31110448,3.0,1.0
0.37915567,0.21836899,0.21019457,0.21994533,0.21403411,0.14484519,0.25710443,0.4952423,0.6103473,0.5047301,0.516926,0.4864709,0.43398678,0.41312262,0.3705215,0.37722087,0.39440805,0.22188686,0.25085077,0.5042604,0.5406806,0.30024427,0.34476748,0.102555834,0.12409527,0.05696778,0.17720528,2.0,1.0
0.53880703,0.7748577,0.7667854,0.7765027,0.76700073,0.71118593,0.04117899,0.45233434,0.58356124,0.6933585,0.62549525,0.5624552,0.52807623,0.55738294,0.57122093,0.65086216,0.6546759,0.7152617,0.7315278,0.68331647,0.5834664,0.6458057,0.7125219,0.7993404,0.73652554,0.84028697,0.294083,3.0,0.0
0.45644855,0.13573553,0.126336,0.14344262,0.13898669,0.08712047,0.18335943,0.49522015,0.63209707,0.5513569,0.5834567,0.53710026,0.496802,0.4753928,0.44571176,0.5107393,0.5360981,0.080150634,0.123446435,0.5798145,0.5249205,0.520073,0.57346433,0.42237654,0.41764125,0.04481721,0.22985877,3.0,1.0
0.44126952,0.6643186,0.65963274,0.6729508,0.66567326,0.6127341,0.034584105,0.49554494,0.55766004,0.5091735,0.59202784,0.54771036,0.5291756,0.47209862,0.45240498,0.4735163,0.49840048,0.66828424,0.6506618,0.4661643,0.37306216,0.57370186,0.46870625,0.4389561,0.5664376,0.8719404,0.34636438,3.0,0.0
0.33617005,0.37686265,0.38339275,0.3797814,0.38011378,0.24963108,0.19685352,0.43898723,0.4872675,0.55437946,0.53908503,0.5705216,0.526575,0.45006713,0.38903385,0.3912877,0.3836737,0.37761363,0.43193594,0.63727695,0.6814704,0.3183484,0.514732,0.59545726,0.6010234,0.10116767,0.5284423,2.0,1.0
0.49196196,0.20861553,0.19786245,0.21639344,0.21159574,0.14613202,0.2266286,0.5462313,0.63753444,0.5654804,0.5980506,0.537928,0.5045618,0.5147855,0.5222668,0.5546834,0.5587847,0.17648286,0.17862701,0.51636255,0.45970857,0.5071728,0.55156016,0.66508394,0.68633354,0.070801266,0.12086284,3.0,1.0
0.3896293,0.7176916,0.72841877,0.72868854,0.71769166,0.7086103,0.17619194,0.42021114,0.4267294,0.44480366,0.43110412,0.34473982,0.2506817,0.22438075,0.039739326,0.0117015,0.12347385,0.86663824,0.83500624,0.27523205,0.38228673,0.085161105,0.17503244,0.10033294,0.10172677,0.76896083,0.765151,2.0,0.0
0.4721097,0.54917365,0.54672515,0.5546448,0.5559468,0.45476994,0.08083639,0.5097295,0.60690117,0.56944245,0.5388065,0.50933075,0.48320216,0.45512977,0.47840518,0.49574065,0.54227626,0.53392744,0.5688312,0.6422072,0.6243733,0.45542386,0.6755468,0.40746826,0.37047467,0.61509216,0.072199166,3.0,2.0
0.49360594,0.73042536,0.72650045,0.74043715,0.7309672,0.681008,0.11190483,0.49360594,0.6071609,0.59119415,0.5683286,0.5324547,0.42024386,0.38884908,0.4028266,0.4534743,0.45897886,0.7735313,0.7632017,0.5410159,0.5793314,0.30579978,0.45088896,0.36959833,0.20146172,0.8370196,0.21565461,3.0,0.0
0.46295005,0.5090762,0.49794468,0.49836063,0.49011102,0.4096175,0.24144407,0.37999314,0.5893245,0.510368,0.5331089,0.5266888,0.4905825,0.46275958,0.45582768,0.44640416,0.5023699,0.500133,0.4822145,0.53095293,0.5103156,0.43218675,0.44049212,0.49471754,0.61253047,0.5892509,0.08932609,3.0,2.0
0.24261431,0.54944456,0.53905183,0.5480874,0.5464643,0.442378,0.13186967,0.52742666,0.6710074,0.63436776,0.6061982,0.49218732,0.45977128,0.44003856,0.40888685,0.37514424,0.40706638,0.557796,0.5684384,0.5560579,0.5852772,0.32968214,0.5072796,0.5342653,0.37123877,0.54816365,0.26710466,2.0,2.0
0.52922803,0.8209157,0.8303644,0.8243169,0.819561,0.7630087,0.33939034,0.5529739,0.8849076,0.91719437,0.87637615,0.801597,0.7357055,0.66392523,0.6684358,0.6813525,0.6888568,0.7913623,0.72229064,0.5825667,0.49096718,0.60114557,0.76768655,0.8634283,0.6398124,0.8573031,0.40501332,3.0,0.0
0.41987067,0.9019236,0.9029871,0.9016393,0.90490377,0.8433932,0.1128338,0.6789402,0.8210696,0.5188913,0.5551494,0.5914428,0.628153,0.50377184,0.5436538,0.5472437,0.52359605,0.9680241,0.92792016,0.36565214,0.3190632,0.44535002,0.4787142,0.51056296,0.6066183,0.8496755,0.97970855,3.0,0.0
0.42611703,0.3359523,0.32776105,0.3396175,0.33757785,0.2500093,0.07801745,0.45311067,0.6118076,0.51554394,0.5170999,0.47482422,0.44858304,0.38730305,0.4005649,0.41033784,0.47761872,0.31070608,0.36823013,0.62230724,0.62517416,0.4048572,0.5236891,0.23163748,0.20761187,0.3857791,0.18877946,3.0,1.0
0.57962346,0.2907071,0.2855577,0.29918036,0.29450014,0.23051296,0.0848686,0.5297327,0.60421133,0.5413211,0.57585394,0.53097636,0.568104,0.56031936,0.5419023,0.53905386,0.5616571,0.23871915,0.26657805,0.631905,0.58325195,0.52016497,0.6585327,0.66926724,0.7890216,0.33963913,0.11442903,1.0,2.0
0.6358769,0.08480085,0.086873114,0.05491804,0.059604462,0.042020198,0.535435,0.17266807,0.31617615,0.22767088,0.31035557,0.20888,0.15663113,0.149916,0.17061484,0.13066196,0.2069404,0.1445792,0.18492039,0.32972082,0.39354375,0.1941789,0.07094986,0.05220091,0.07934739,0.12058419,0.4100009,1.0,1.0
0.47111487,0.28853968,0.2770622,0.28743172,0.28176644,0.18230334,0.2859946,0.46950832,0.51620007,0.48080963,0.5464629,0.48580125,0.4391584,0.5175846,0.49798018,0.51444006,0.51797444,0.29250377,0.30837122,0.36124632,0.274753,0.5315349,0.39917615,0.41238344,0.6507662,0.08927936,0.57472026,3.0,1.0
0.40851045,0.8412354,0.8574952,0.8538251,0.8417773,0.78174436,0.2635952,0.6202604,0.725996,0.6955228,0.8390089,0.8766662,0.8299309,0.7739825,0.75442517,0.7308411,0.74915135,0.78734297,0.7353457,0.66811854,0.54080313,0.70191306,0.8315574,0.8458946,0.8629348,0.8643945,0.5056481,2.0,0.0
0.4228568,0.7667299,0.76760757,0.77923495,0.7732321,0.7164046,0.037975647,0.53880703,0.60716033,0.5693005,0.69971335,0.6088219,0.52896607,0.5231753,0.57201946,0.59768754,0.6816931,0.7177701,0.74032885,0.69606316,0.60339606,0.63344806,0.7362921,0.75012064,0.75457793,0.8415372,0.27298546,3.0,0.0
0.51239973,0.26551068,0.2608934,0.27049178,0.27472228,0.21201384,0.19170013,0.5551129,0.64267737,0.5964201,0.60891473,0.57288206,0.47530407,0.42484263,0.4130048,0.25904438,0.3389777,0.33771297,0.2938623,0.2503327,0.26400924,0.2829858,0.21041667,0.56656164,0.3414778,0.31041777,0.22527285,3.0,1.0
0.40056294,0.76131123,0.7624006,0.7713115,0.762395,0.6926291,0.19648914,0.5498195,0.57220805,0.51397187,0.52575135,0.46431854,0.41930366,0.40791255,0.38707238,0.36067897,0.40765405,0.7978558,0.80322725,0.5626657,0.59617066,0.32204586,0.45356494,0.2072816,0.18564786,0.90637803,0.31950238,2.0,0.0
0.4738708,0.16716337,0.160866,0.17513661,0.17339472,0.11935998,0.2861147,0.47058323,0.5239881,0.48711303,0.51328415,0.48163083,0.44564912,0.40377763,0.42342663,0.448836,0.47996008,0.16140658,0.20353037,0.48595536,0.45301282,0.4472417,0.35979202,0.32252434,0.50046057,0.14502908,0.16483173,3.0,1.0
0.62102824,0.22351666,0.21512744,0.22322404,0.21728529,0.16017485,0.21840002,0.49025357,0.63440907,0.57392,0.52168196,0.48993015,0.43813774,0.4375795,0.4642565,0.44918165,0.4945653,0.16354248,0.23948112,0.72528416,0.75634253,0.37033617,0.6700184,0.33709648,0.3151384,0.27089205,0.23885693,1.0,1.0
0.40151674,0.21186669,0.20224722,0.1887978,0.18260632,0.117151946,0.39034352,0.3902068,0.57996106,0.5113642,0.4185591,0.38313994,0.2836133,0.30735418,0.31055966,0.35840717,0.41123873,0.21008123,0.2522893,0.3163241,0.26807943,0.4359506,0.2964232,0.17862487,0.15459387,0.039212856,0.6101287,2.0,1.0
0.4651643,0.44947168,0.44258702,0.45491803,0.4538065,0.42017958,0.096785046,0.4443088,0.5060263,0.47621727,0.48210403,0.49389338,0.39311385,0.39856192,0.42484143,0.43294066,0.48288548,0.41810745,0.48348755,0.68167984,0.6733275,0.4450911,0.5580777,0.4510646,0.61221534,0.7760108,0.26503876,3.0,2.0
0.49863532,0.20455159,0.1937517,0.20846993,0.20482251,0.15127051,0.1660013,0.54893416,0.7224874,0.616461,0.63462484,0.6132504,0.610394,0.56761265,0.5891618,0.5713117,0.58536977,0.10062484,0.18133192,0.7670919,0.7259859,0.53933746,0.7782801,0.7880917,0.751523,0.21398471,0.2638722,3.0,1.0
0.47480047,0.36765105,0.36064672,0.35409832,0.35031152,0.33083263,0.18125723,0.32999048,0.56469274,0.5397341,0.48661992,0.4916046,0.52429736,0.60423833,0.5228772,0.5257281,0.5701893,0.32848805,0.30907527,0.4170819,0.28280598,0.65086967,0.44810927,0.5903536,0.7287368,0.6773999,0.49113485,3.0,2.0
0.53721416,0.4641019,0.4642367,0.4590164,0.44947162,0.41667712,0.1688563,0.49550307,0.63267124,0.5806505,0.60208935,0.5324871,0.46619645,0.42512572,0.394042,0.39951766,0.4258223,0.43925807,0.4297941,0.5931093,0.6109647,0.36433938,0.5353706,0.47125936,0.38309768,0.76286477,0.30127594,3.0,2.0
0.5826615,0.89352477,0.9191559,0.90765023,0.9086968,0.838179,0.122339725,0.61630034,0.7839162,0.73961145,0.7309463,0.73934454,0.7303209,0.710131,0.6676308,0.6878422,0.69400305,0.85629576,0.8281131,0.7649334,0.70353425,0.583188,0.8772996,0.8453767,0.8522927,0.8583616,0.3859065,1.0,0.0
0.49180138,0.5188295,0.51877224,0.53087425,0.5272284,0.4381415,0.071578726,0.5621344,0.678645,0.62308395,0.6085728,0.5900912,0.54537135,0.56305027,0.54224205,0.5439886,0.56200385,0.48234853,0.4933045,0.61890996,0.55741715,0.5448395,0.7840804,0.7366116,0.72268593,0.62166005,0.034188498,3.0,2.0
0.43876025,0.41885665,0.41600436,0.4262295,0.42346242,0.34469828,0.20458558,0.58383745,0.6174899,0.564925,0.55628926,0.5161757,0.4743365,0.4634389,0.48894635,0.52366287,0.55947214,0.38365862,0.43244183,0.60242534,0.55648243,0.50644946,0.62912565,0.36090106,0.3927768,0.46888256,0.07790695,3.0,2.0
