Label,col-0,col-1,col-2,col-3,col-4,col-5,col-6,col-7,col-8,col-9,col-10,col-11,col-12,col-13,col-14,col-15,col-16,col-17,col-18,col-19,col-20,col-21,col-22,col-23,col-24,col-25,direction,Cluster
0.34192142,0.3245717,0.30935913,0.38039213,0.3182033,0.43957302,0.10334868,0.3488861,0.38448304,0.3863329,0.38784656,0.38628483,0.40363953,0.38818267,0.39048442,0.39597645,0.39706042,0.33503494,0.3814825,0.42535362,0.4132445,0.41661662,0.448716,0.46954605,0.4234847,0.7534586,0.37164676,3.0,2.0
0.3107909,0.7671908,0.7443522,0.77559906,0.7413712,0.78289616,0.09317587,0.25373578,0.38470435,0.4385231,0.42089158,0.4517553,0.46888888,0.44981807,0.425175,0.4270352,0.4925045,0.8235662,0.71405715,0.27731803,0.22008999,0.45810416,0.35046652,0.71406806,0.7086713,0.94388527,0.59417635,3.0,1.0
0.36368328,0.49260738,0.4757953,0.53485835,0.486052,0.542345,0.19873883,0.33256504,0.33524546,0.26258048,0.28127322,0.32653272,0.30213317,0.3253079,0.30043963,0.32195267,0.26673406,0.5566774,0.57744145,0.31540954,0.30566424,0.3733916,0.26938555,0.11518017,0.27107677,0.71032435,0.5315681,3.0,2.0
0.35239574,0.043886412,0.03457815,0.12200436,0.033096917,0.026643788,0.020249346,0.33940688,0.39647365,0.39054313,0.37717783,0.4020772,0.4153245,0.4504981,0.44301608,0.4075195,0.3980703,0.03096952,0.016668027,0.46632117,0.46931973,0.39972505,0.5330674,0.5426733,0.72726595,0.08630407,0.28373212,3.0,0.0
0.28378862,0.24290074,0.24181652,0.31067538,0.24539007,0.37100616,0.1439597,0.33266434,0.37898737,0.4124668,0.38061917,0.4169454,0.45948085,0.5043009,0.53910154,0.58027273,0.55749226,0.23100905,0.2735522,0.47827464,0.42383265,0.5224439,0.585053,0.75932354,0.843233,0.55749947,0.38088316,2.0,0.0
0.3239562,0.77657825,0.75703084,0.7980392,0.7791962,0.8198535,0.070519716,0.38101295,0.42015675,0.45277268,0.3721895,0.41561422,0.43380493,0.47041,0.51428306,0.5668533,0.53956985,0.78296655,0.7380367,0.47839403,0.4143812,0.5422385,0.5884934,0.3347959,0.40079606,0.94348717,0.4742489,3.0,2.0
0.35784063,0.36282563,0.35131398,0.41873637,0.36264774,0.48879343,0.10623686,0.3648047,0.42342338,0.43908486,0.4448353,0.43215126,0.43677375,0.45954174,0.46168292,0.4681029,0.47507086,0.37750348,0.38040823,0.41472045,0.3840479,0.45122045,0.53204,0.56915677,0.48794946,0.7058756,0.29741856,3.0,1.0
0.34444407,0.47336307,0.45458737,0.5159041,0.4638298,0.39840168,0.04765496,0.32622367,0.3903504,0.4170216,0.40542,0.41556594,0.39995483,0.42392528,0.41557348,0.42638037,0.43685606,0.4983664,0.46414265,0.40872145,0.38602492,0.4326667,0.45695773,0.7882859,0.64497745,0.3653921,0.31578535,3.0,1.0
0.37980893,0.19197373,0.18049794,0.25163397,0.1718676,0.14550294,0.056383677,0.30853406,0.36269653,0.3995128,0.35954446,0.37580416,0.36046186,0.36744952,0.3467167,0.38044566,0.3519123,0.22634877,0.25727424,0.29993814,0.28127298,0.3864049,0.30626,0.38941675,0.3618503,0.29117903,0.47393504,3.0,0.0
0.34128708,0.030509276,0.03319501,0.11525054,0.036406618,0.03180855,0.03371147,0.37951878,0.42219204,0.41862315,0.3919941,0.39618838,0.39104196,0.3960309,0.40991727,0.41821712,0.38867193,0.047482345,0.13201858,0.42758638,0.45226923,0.3414616,0.46250737,0.2692125,0.12662065,0.10969559,0.13638203,3.0,0.0
0.3567409,0.46655715,0.4552789,0.517647,0.46926713,0.39806923,0.017457439,0.3538503,0.40850142,0.3968481,0.39337716,0.412232,0.42673475,0.47078022,0.47171873,0.46455988,0.4278472,0.47895345,0.48323604,0.5402525,0.562952,0.38485074,0.7075881,0.510206,0.6555615,0.40890297,0.24847497,3.0,1.0
0.30595848,0.5080967,0.49562007,0.5559913,0.51205677,0.49458382,0.042921554,0.36587194,0.42782632,0.4229067,0.41761532,0.46849406,0.43180564,0.43963516,0.4139398,0.39823323,0.38844648,0.5289667,0.50948775,0.47973737,0.49346587,0.38225916,0.55737525,0.87558603,0.7662636,0.5330718,0.36096424,3.0,1.0
0.3551729,0.54611593,0.52927613,0.58823526,0.5413711,0.4983908,0.03265247,0.3598078,0.43533716,0.41125634,0.37122095,0.32902825,0.44624242,0.5133822,0.49929526,0.5125017,0.5005354,0.53422105,0.5249799,0.5359267,0.51219577,0.47916824,0.5981873,0.27822283,0.3570249,0.49416992,0.41824687,3.0,2.0
0.382251,0.44684345,0.43038264,0.49128538,0.43617022,0.420783,0.06660462,0.33009693,0.4189914,0.28770596,0.29330167,0.32735148,0.3291802,0.3357793,0.35148475,0.36957562,0.3811533,0.47468013,0.5150131,0.42198092,0.4279397,0.37815043,0.38598987,0.195747,0.37630188,0.5135631,0.42284825,3.0,2.0
0.3282824,0.20980993,0.20493315,0.28169933,0.21347517,0.17063741,0.094395325,0.36623058,0.411475,0.4081759,0.40376425,0.4191876,0.4380558,0.44953242,0.43127632,0.5667179,0.54324853,0.14128928,0.24897897,0.6850095,0.67310447,0.5067583,0.9082225,0.515177,0.58478075,0.2569819,0.24570562,3.0,0.0
0.3885933,0.10748651,0.0988935,0.18649238,0.1035461,0.087718144,0.015146896,0.3492897,0.39962456,0.40190247,0.38887617,0.39349028,0.40076944,0.41064954,0.4174208,0.42465147,0.39960867,0.11397812,0.1863006,0.44169858,0.4498524,0.38049737,0.4794539,0.20886603,0.23456813,0.13750724,0.016822917,3.0,0.0
0.32928035,0.54470783,0.5389581,0.5825708,0.53096926,0.4477,0.075172886,0.33000377,0.4205363,0.45523223,0.4563149,0.47187355,0.46545,0.4752227,0.4564512,0.49948403,0.47778437,0.5152296,0.53605235,0.59505635,0.599611,0.4414138,0.80759364,0.7704424,0.80658627,0.41979176,0.27681854,3.0,1.0
0.3459013,0.737855,0.72314435,0.7581699,0.7248227,0.7667275,0.17027421,0.3107909,0.30685663,0.31241208,0.24821584,0.252445,0.2908195,0.29652977,0.31686446,0.2744834,0.2712714,0.79062736,0.7895836,0.4233148,0.4439386,0.34834903,0.33025256,0.22653285,0.21663533,0.93072844,0.52717036,3.0,2.0
0.26690188,0.7754048,0.77086216,0.8039216,0.78510636,0.8256279,0.11440399,0.38540167,0.44573897,0.4860155,0.52026945,0.58530813,0.5863243,0.5723395,0.58307993,0.5926509,0.5949793,0.78400195,0.71100706,0.43275815,0.3312063,0.60379714,0.64682025,0.8886479,0.92143035,0.94506603,0.46756136,2.0,1.0
0.3524425,0.63083786,0.61502993,0.66187364,0.6300236,0.61718976,0.12374244,0.34998867,0.36443493,0.38892794,0.5138639,0.73631144,0.7643509,0.7294015,0.7181459,0.76507986,0.78219336,0.52384,0.54257613,0.7665282,0.64633566,0.7586816,0.86270994,0.82065153,0.8894727,0.4945172,0.6185481,3.0,1.0
