Label,col-0,col-1,col-2,col-3,col-4,col-5,col-6,col-7,col-8,col-9,col-10,col-11,col-12,col-13,col-14,col-15,col-16,col-17,col-18,col-19,col-20,col-21,col-22,col-23,col-24,col-25,direction,Cluster
0.47216204,0.4055153,0.41373274,0.4146127,0.4185923,0.39647555,0.037228223,0.54673856,0.64047134,0.6074102,0.5801688,0.62567896,0.58708584,0.55452436,0.51762027,0.54516053,0.4977045,0.3852725,0.40536213,0.7982789,0.82186985,0.48233256,0.8988914,0.6528586,0.65502024,0.8621955,0.15591249,3.0,1.0
0.37855226,0.7420894,0.7344544,0.7264085,0.73469746,0.71464586,0.07566728,0.35493258,0.5651133,0.57127,0.6027311,0.68358123,0.64506716,0.5360181,0.46389854,0.44676292,0.37569612,0.75126,0.7612379,0.6450455,0.65490174,0.4713348,0.5432543,0.66276324,0.6953334,0.8125266,0.55096096,2.0,2.0
0.45635113,0.8647693,0.87440884,0.8688381,0.8680543,0.8347297,0.05502146,0.54456156,0.6064823,0.4780398,0.35830086,0.31514832,0.24581665,0.24255905,0.2180295,0.27612025,0.26716566,0.9643889,0.9240949,0.51524615,0.6547573,0.085556515,0.32594895,0.105382524,0.03210919,0.86734396,0.7061538,3.0,0.0
0.44726124,0.7039066,0.7106324,0.70457745,0.7101782,0.6886532,0.11006873,0.56503415,0.62486815,0.5409744,0.43944365,0.474336,0.49411184,0.3943591,0.36197552,0.4077565,0.29455763,0.79932964,0.71611345,0.30024952,0.31394964,0.35400057,0.24074155,0.33824477,0.17444524,0.8214819,0.50034684,3.0,0.0
0.43250737,0.19003005,0.18689789,0.19154929,0.1903334,0.17620428,0.12229485,0.46157768,0.5930399,0.5434049,0.53893757,0.58604616,0.5290189,0.4736789,0.4707861,0.5240413,0.44056398,0.16833904,0.21394068,0.7626745,0.7914864,0.45736295,0.69197446,0.3884936,0.39593965,0.60032934,0.24865271,2.0,1.0
0.50889224,0.1566201,0.1618497,0.16302818,0.1636973,0.15103136,0.14663711,0.5303799,0.6308573,0.59364206,0.5801876,0.62270004,0.6224213,0.60796314,0.59663934,0.60128313,0.5640767,0.13086624,0.13932258,0.73369753,0.7208945,0.5592448,0.8731889,0.7506465,0.8045657,0.51215595,0.09330619,3.0,1.0
0.40940446,0.4263744,0.4433351,0.4346831,0.4424061,0.42082784,0.14774583,0.6140839,0.67572343,0.6994409,0.604668,0.63737303,0.6190985,0.64305234,0.5490386,0.5550668,0.4989482,0.42222887,0.41812807,0.7181793,0.7316535,0.4844097,0.7677202,0.50556314,0.4614955,0.88555956,0.21891971,2.0,1.0
0.55016106,0.95368564,0.94990367,0.95686626,0.9539601,0.95473117,0.013466124,0.5016634,0.6737862,0.6675238,0.5412627,0.57944566,0.51983106,0.42670596,0.41247955,0.43698323,0.42211345,0.9831697,0.9657304,0.65826756,0.7153964,0.3494846,0.57032204,0.47968236,0.26758006,0.7997817,0.43405336,1.0,0.0
0.54119563,0.5992575,0.6050096,0.6005282,0.60222256,0.59689754,0.038537804,0.49227303,0.77417666,0.68859524,0.5757127,0.73548645,0.83347565,0.76689863,0.7428992,0.753192,0.5971186,0.6002138,0.50505537,0.57348466,0.51361483,0.634892,0.59883744,0.79825735,0.8113981,0.7914365,0.90607685,1.0,2.0
0.40760273,0.6552943,0.6512524,0.65721834,0.6519668,0.67777187,0.009909946,0.4784882,0.6261895,0.59020644,0.57002616,0.6049329,0.50512344,0.5006152,0.5241744,0.5469779,0.5286964,0.6349635,0.661511,0.70079917,0.6738679,0.5866712,0.6604154,0.56399006,0.5089252,0.7281143,0.46005636,2.0,2.0
0.3873449,0.87396145,0.86547554,0.85475355,0.8534133,0.8558687,0.030683687,0.38041785,0.5056025,0.43295732,0.42874303,0.40446547,0.38523048,0.22642298,0.3132898,0.36179096,0.19707237,0.96685344,0.88774514,0.31897765,0.36402348,0.2762975,0.21229991,0.10902835,0.115779825,0.80388165,0.7427513,2.0,0.0
0.45213616,0.024571333,0.029602375,0.034859147,0.031398848,0.028547317,0.07462702,0.53648746,0.6490143,0.63640964,0.64222205,0.70090467,0.6754171,0.6401072,0.583437,0.57283235,0.46592042,0.018850526,0.0037637341,0.577534,0.5454968,0.56199014,0.6389109,0.9666581,0.97820586,0.1492699,0.15402235,3.0,1.0
0.5313162,0.070001766,0.06743739,0.07095072,0.062444888,0.05766698,0.12671286,0.43274957,0.5431051,0.46547887,0.46856236,0.5136543,0.50086087,0.4820146,0.45409504,0.47150868,0.41311067,0.07435334,0.095089905,0.63152575,0.661216,0.41428828,0.4119862,0.08715739,0.36361545,0.2741061,0.070037544,1.0,1.0
0.4401322,0.19975251,0.20423892,0.20580988,0.20338684,0.1873404,0.10171076,0.5325279,0.7020647,0.6226824,0.6063596,0.746741,0.7335053,0.6833229,0.5702714,0.609678,0.57043743,0.14886592,0.1819433,0.79758835,0.77952015,0.5931179,0.86511457,0.8332082,0.86315054,0.58120066,0.26250225,3.0,1.0
