Label,col-0,col-1,col-2,col-3,col-4,col-5,col-6,col-7,col-8,col-9,col-10,col-11,col-12,col-13,col-14,col-15,col-16,col-17,col-18,col-19,col-20,col-21,col-22,col-23,col-24,col-25,direction,Cluster
0.61238253,0.95442986,0.9550786,0.9456727,0.94655895,0.9445792,0.22855508,0.39931095,0.46682012,0.67069125,0.5720536,0.67177033,0.6502365,0.6120227,0.56115633,0.60313773,0.7110557,0.9495122,0.9163543,0.7244858,0.713809,0.59522474,0.5817287,0.70376843,0.6743272,0.94473785,0.6414947,1.0,0.0
0.5438363,0.63986284,0.64073914,0.64403963,0.6400752,0.59987336,0.07838147,0.42771915,0.4828643,0.5302149,0.45094794,0.47516903,0.51557094,0.52850395,0.5970007,0.5776863,0.570049,0.65476155,0.63043386,0.6288495,0.6388281,0.52894926,0.5222755,0.28723878,0.42475247,0.6773877,0.36893907,1.0,2.0
0.4152904,0.72082734,0.724386,0.72925234,0.72582424,0.6891431,0.080354325,0.48389986,0.4196738,0.45646504,0.3404393,0.3746345,0.5730761,0.5065743,0.3839087,0.44405705,0.4544325,0.7752226,0.7591515,0.5041632,0.6099794,0.30462453,0.33870447,0.1916202,0.19180505,0.7335548,0.33028138,2.0,2.0
0.4271933,0.048114173,0.047244933,0.04555048,0.04149148,0.028183935,0.27047822,0.4435142,0.5105463,0.54213893,0.47241825,0.4690818,0.5395659,0.5953038,0.5659781,0.5398416,0.47851104,0.052152097,0.070821114,0.58196616,0.60175896,0.49708295,0.49257392,0.358224,0.5201201,0.03317736,0.29151762,2.0,1.0
0.5576331,0.9559784,0.9739988,0.96678156,0.96592164,0.97043246,0.35213462,0.5349386,0.729126,0.7932951,0.6987956,0.73459667,0.77247405,0.69300264,0.64575267,0.53699,0.5050703,0.9778095,0.9221355,0.535712,0.5221815,0.5517194,0.5575767,0.6135361,0.52838594,0.96772176,0.75335056,1.0,0.0
0.43030033,0.6743724,0.6840009,0.6817021,0.6821199,0.63305676,0.22664142,0.5257754,0.58479613,0.629165,0.5917787,0.6115966,0.6169693,0.5714115,0.57466406,0.6396561,0.57259655,0.67587155,0.667486,0.6974092,0.6963445,0.568927,0.7254195,0.75345874,0.7647156,0.6999118,0.29876694,2.0,0.0
0.4259307,0.87457144,0.88670063,0.8846795,0.882828,0.88107836,0.22784485,0.5088577,0.5549946,0.4716366,0.42231005,0.44460368,0.56112534,0.5375058,0.57516116,0.5149807,0.53755987,0.9136218,0.8683023,0.54739386,0.58585674,0.45070165,0.47362393,0.23231588,0.40980202,0.9361863,0.49099523,2.0,0.0
0.46500653,0.18582015,0.18543926,0.18709034,0.18986504,0.16521692,0.10037879,0.47158673,0.56779426,0.647521,0.59192014,0.57564765,0.6288192,0.6055368,0.6000826,0.6203908,0.5714779,0.19323343,0.1788277,0.49625638,0.4309636,0.6450335,0.6195816,0.95305866,0.91327953,0.29976058,0.15433225,3.0,1.0
0.47227874,0.0700144,0.06705021,0.06554829,0.065722525,0.0625437,0.2760614,0.43211782,0.5470407,0.71459496,0.6175265,0.5877962,0.5900009,0.5845201,0.5842004,0.6594532,0.5968509,0.06329488,0.032687943,0.48101106,0.375557,0.7214406,0.5455487,0.89542806,0.6367657,0.20143364,0.35059676,3.0,1.0
0.47488648,0.026324535,0.037287,0.031774256,0.04348307,0.0328634,0.24437737,0.56597996,0.639337,0.7187045,0.6067904,0.59055334,0.5728699,0.5703662,0.5750437,0.59198844,0.5293273,0.043711092,0.067076534,0.50063443,0.49627617,0.524216,0.5926343,0.6459033,0.35764053,0.05090759,0.2429638,3.0,1.0
0.4889513,0.1630351,0.16419563,0.17053661,0.16950656,0.14699548,0.16451626,0.48678067,0.46608183,0.50451636,0.4134161,0.39333996,0.47270498,0.47491133,0.4821372,0.4940288,0.44015914,0.20297453,0.20583048,0.46463773,0.51069,0.41393557,0.27843803,0.05732492,0.114326745,0.29012805,0.107384905,3.0,1.0
0.44452623,0.50492203,0.5077451,0.46472618,0.46282363,0.40439057,0.20888573,0.1277619,0.25824994,0.22674607,0.17630164,0.21410225,0.22844668,0.30599087,0.23532735,0.28472006,0.23356983,0.5207851,0.5366468,0.6301193,0.78116566,0.24693657,0.3026169,0.16529647,0.21165538,0.48019418,0.6314248,3.0,2.0
0.57391584,0.3494083,0.3537287,0.35218307,0.35516703,0.30993977,0.18020044,0.5227535,0.5451498,0.5983914,0.535689,0.5746792,0.5879288,0.5781821,0.5948497,0.6044174,0.57252717,0.335745,0.35178816,0.76365036,0.76286876,0.58563054,0.8050118,0.6962482,0.7117688,0.43941155,0.25516218,1.0,2.0
0.5039441,0.402721,0.40905067,0.40951008,0.40694842,0.35813007,0.26945233,0.48736832,0.54485166,0.6126352,0.6134827,0.7037835,0.7170539,0.6451234,0.5748313,0.6205319,0.5847651,0.38788167,0.37027907,0.6883441,0.63583606,0.6695261,0.69391435,0.82218057,0.81805205,0.46015015,0.4291041,3.0,2.0
0.45197883,0.05408693,0.052113295,0.05577159,0.055875223,0.048280787,0.27894175,0.4364256,0.51550514,0.53577816,0.50108737,0.5189318,0.58167636,0.5739164,0.60544217,0.6329254,0.57171595,0.04894565,0.064280316,0.63700193,0.5980273,0.6290534,0.6471098,0.5686745,0.7322467,0.15302049,0.07109165,3.0,1.0
