Label,col-0,col-1,col-2,col-3,col-4,col-5,col-6,col-7,col-8,col-9,col-10,col-11,col-12,col-13,col-14,col-15,col-16,col-17,col-18,col-19,col-20,col-21,col-22,col-23,col-24,col-25,direction,Cluster
0.5365657,0.8862065,0.8951416,0.88803583,0.8826875,0.88581586,0.075716026,0.4620424,1.6469377e-06,0.08957185,0.075872906,0.13224648,0.18301658,0.22166112,0.27216035,0.38089842,0.45544508,0.88518184,0.9458105,0.835705,0.97969586,0.42125836,0.4434537,0.19793305,0.34484485,0.94434816,0.75993294,2.0,2.0
0.5656644,0.49850976,0.4965723,0.50625724,0.50158685,0.49686944,0.0142223695,0.60443,0.53106374,0.5585002,0.52870464,0.48705167,0.54134035,0.53875154,0.4971086,0.486053,0.5000529,0.5059083,0.48413217,0.4888363,0.53538084,0.46945015,0.597315,0.9208837,0.73231226,0.76633257,0.1926757,3.0,1.0
0.59281516,0.53290415,0.53090906,0.5414425,0.53512186,0.5328824,0.03690317,0.5754097,0.51697826,0.52294934,0.47925708,0.45522565,0.56591284,0.54452074,0.534206,0.4934446,0.4784012,0.5468725,0.5453975,0.40898263,0.42446116,0.4970302,0.4509278,0.6415196,0.65404814,0.7752483,0.2018633,3.0,1.0
0.5548875,0.039878413,0.038688537,0.04002176,0.036409352,0.032440256,0.07772599,0.5510827,0.5150794,0.48750544,0.43807426,0.40364212,0.46864983,0.5027485,0.49526146,0.4639371,0.45991233,0.030179052,0.035522368,0.5140817,0.5849108,0.43311077,0.5179844,0.24530387,0.29384577,0.07933573,0.099125914,3.0,0.0
0.65387577,0.9027778,0.9204769,0.9147573,0.91765976,0.9224879,0.03690317,0.75845104,0.3121194,0.39365914,0.39100826,0.36846662,0.33303553,0.1575238,0.1909047,0.15274775,0.20825307,0.99838966,0.97450864,0.22121024,0.40394974,0.10296317,0.30541077,0.20280577,0.1631541,0.98177254,0.96277076,1.0,2.0
0.5462811,0.5214592,0.52053654,0.5303187,0.52572006,0.51978004,0.029805064,0.6051211,0.5651129,0.5950202,0.5944467,0.5560092,0.62037015,0.6254015,0.60594225,0.62666976,0.6138891,0.5102248,0.5034981,0.5577306,0.55207855,0.596519,0.84279615,0.94619864,0.90814275,0.7700773,0.15671538,3.0,1.0
0.54229647,0.83780396,0.8429806,0.84057796,0.8480747,0.8496561,0.03389476,0.5826596,0.39070964,0.47967488,0.39233813,0.45238933,0.52696043,0.55652523,0.54933953,0.5311558,0.5039934,0.8333142,0.8183661,0.8377577,0.96842945,0.44750986,0.70576483,0.56062967,0.68691653,0.91285354,0.49553648,3.0,2.0
0.5886036,0.18204579,0.17895679,0.1835439,0.17929214,0.16925205,0.0640181,0.52896106,0.49206135,0.5276622,0.52439475,0.5040646,0.5415782,0.55605453,0.5240578,0.52874887,0.5554846,0.1687931,0.1694512,0.5355238,0.56378424,0.5229281,0.6538937,0.8720245,0.90786564,0.45734075,0.13168502,3.0,0.0
0.6314189,0.050011918,0.046974674,0.050420173,0.049104717,0.047856018,0.17346321,0.56759936,0.54156744,0.6617122,0.6625302,0.6201271,0.6008163,0.593078,0.5592883,0.5597009,0.57422376,0.036048613,0.021623697,0.32031846,0.22680238,0.6699268,0.5277499,0.9928024,0.8109122,0.21266249,0.25125122,1.0,0.0
0.60192084,0.023128284,0.029508201,0.025996007,0.03281633,0.03013644,0.093779564,0.6807928,0.6094452,0.5837227,0.547141,0.5121761,0.54936314,0.542823,0.52843124,0.4994718,0.4966663,0.024193931,0.022811895,0.39906186,0.41175395,0.49840733,0.57652134,0.60611737,0.40840107,0.07455452,0.11662219,1.0,0.0
