Label,col-0,col-1,col-2,col-3,col-4,col-5,col-6,col-7,col-8,col-9,col-10,col-11,col-12,col-13,col-14,col-15,col-16,col-17,col-18,col-19,col-20,col-21,col-22,col-23,col-24,col-25,direction,Cluster
0.5571707,0.22297107,0.21559888,0.22775178,0.22178987,0.22178987,0.0026504658,0.57945734,0.6237481,0.57997817,0.6068293,0.6409168,0.66303074,0.6243834,0.6235781,0.6226027,0.6520906,0.24972038,0.20678203,0.6307837,0.6292565,0.67021865,0.44673938,0.22456358,0.3642757,0.10964547,0.13461623,3.0,1.0
0.58042645,0.50351024,0.5066852,0.5187354,0.51083934,0.51083934,0.026586926,0.613372,0.68311864,0.6267681,0.63463414,0.70713073,0.7389949,0.67230445,0.7107893,0.6828767,0.7203958,0.4805716,0.41953108,0.68088084,0.62129754,0.815392,0.6284979,0.84934586,0.88240355,0.75462174,0.4370894,3.0,0.0
0.61434126,0.5762426,0.5651811,0.5796253,0.5503057,0.5503057,0.0019815897,0.5125969,0.5701,0.53699666,0.5331707,0.6235144,0.66225165,0.63284004,0.6253016,0.61027396,0.63613147,0.61923397,0.52110887,0.6565884,0.6442414,0.7016292,0.4358856,0.32514495,0.5492134,0.19469465,0.3559097,3.0,2.0
0.5687985,0.13310868,0.12952645,0.13846605,0.1356309,0.1356309,0.0054475837,0.5920543,0.6359084,0.60718167,0.6112195,0.6366724,0.6571874,0.63460183,0.6435712,0.6380137,0.6517715,0.14224425,0.1247372,0.59154314,0.56854266,0.7086368,0.39194596,0.20335151,0.21761179,0.08232351,0.105731584,3.0,1.0
0.5784884,0.05504072,0.04874652,0.054449648,0.0561423,0.0561423,0.00726106,0.58527136,0.65307575,0.61697495,0.6087805,0.6506791,0.6727698,0.6342495,0.63426405,0.64075345,0.6556017,0.045323238,0.04430394,0.6325642,0.63160306,0.6694031,0.5309177,0.44472158,0.33051637,0.063985035,0.05879996,3.0,1.0
0.57364345,0.038191516,0.031754877,0.03542155,0.038632575,0.038632575,0.00555489,0.5833334,0.64949924,0.6082698,0.6078049,0.647708,0.6747176,0.6395349,0.636677,0.62945205,0.638685,0.019344157,0.04209482,0.6346617,0.6316501,0.67461723,0.5166808,0.58379024,0.5881817,0.07087994,0.04750272,3.0,1.0
0.54748064,0.13928673,0.12952645,0.13641687,0.12840466,0.12840466,0.0024090265,0.5523256,0.61444914,0.5990206,0.5980488,0.6485569,0.6665368,0.6236787,0.62633574,0.62089044,0.6377274,0.13455713,0.15216638,0.6091079,0.5939623,0.6954326,0.3538486,0.6629518,0.681962,0.08388698,0.07541289,3.0,1.0
0.56589144,0.44341478,0.4320334,0.45579627,0.43385217,0.43385217,0.004834149,0.5639536,0.62804,0.6039173,0.6107317,0.6727505,0.6641995,0.61486965,0.62150985,0.6150685,0.63038623,0.51301855,0.41172642,0.5913984,0.5810154,0.6799269,0.3569768,0.81392545,0.7328078,0.16229676,0.1242696,3.0,0.0
0.5687985,0.033979222,0.03259053,0.03512881,0.040300168,0.040300168,0.00578381,0.58817834,0.65092987,0.6202393,0.6107317,0.65789473,0.68211925,0.64622974,0.6452947,0.6445206,0.65783596,0.0113988165,0.02431483,0.6272758,0.6117843,0.70102334,0.5727037,0.8008135,0.7212252,0.08096291,0.046342626,3.0,1.0
0.58042645,0.54451,0.54178274,0.5509368,0.54196775,0.54196775,0.009630742,0.5775194,0.5650929,0.5331882,0.5068293,0.5475382,0.59407866,0.5711769,0.5525681,0.51130134,0.5323971,0.6971215,0.6422091,0.6506506,0.7222896,0.5092116,0.31999213,0.120361164,0.20405951,0.18832098,0.4857252,3.0,2.0
0.6598838,0.6529065,0.6462395,0.64695555,0.62117845,0.62117845,0.032081008,0.505814,0.61731046,0.72742105,0.6395122,0.69057727,0.70237637,0.6476392,0.6708032,0.6393836,0.6741143,0.69053626,0.68076575,0.65492284,0.64076346,0.7053073,0.51476204,0.79585415,0.6496573,0.72843444,0.59466743,1.0,0.0
0.56395346,0.283909,0.28356543,0.29654568,0.28627017,0.28627017,0.0035142815,0.6027132,0.66094416,0.6245919,0.6336585,0.6791172,0.69458514,0.64622974,0.6483971,0.644863,0.6552825,0.3424395,0.26389763,0.5180204,0.47302926,0.7391648,0.3137641,0.798663,0.78341013,0.12643428,0.15657122,3.0,1.0
0.58527136,0.12945803,0.12005571,0.12734193,0.11978877,0.11978877,0.0056621963,0.54748064,0.5915593,0.57562566,0.5814634,0.62945676,0.65874565,0.61486965,0.6149604,0.61232877,0.6307054,0.13428786,0.15111007,0.6061018,0.59496397,0.6855305,0.27696347,0.38562846,0.6037528,0.081230514,0.07670502,3.0,1.0
0.5484497,0.59758496,0.59999996,0.62031615,0.6058921,0.6058921,0.025007734,0.63856584,0.6194563,0.6240478,0.58926827,0.61969435,0.6692637,0.5718816,0.59462255,0.6232877,0.6651771,0.6823355,0.5730833,0.6478931,0.64223313,0.6841344,0.48729426,0.21241874,0.20200297,0.73335415,0.6009323,3.0,2.0
0.58139545,0.4507161,0.44428968,0.45960188,0.43663144,0.43663144,0.001831361,0.56104654,0.6194563,0.5859629,0.58390236,0.6375212,0.645111,0.58668077,0.59255433,0.58835614,0.5978295,0.5329951,0.4714764,0.56357384,0.5548672,0.6687595,0.2155023,0.17930561,0.18260635,0.18147464,0.1875606,3.0,2.0
