Label,col-0,col-1,col-2,col-3,col-4,col-5,col-6,col-7,col-8,col-9,col-10,col-11,col-12,col-13,col-14,col-15,col-16,col-17,col-18,col-19,col-20,col-21,col-22,col-23,col-24,col-25,direction,Cluster
0.64680403,0.8114491,0.78721565,0.81838334,0.82251954,0.82536435,0.027715731,0.7003531,0.7112609,0.68908787,0.45379302,0.6035863,0.5551235,0.34824923,0.40546972,0.4060186,0.36168402,0.87886274,0.8495363,0.22948691,0.21671176,0.527519,0.39481488,0.52139574,0.35823342,0.96024317,0.68787444,1.0,0.0
0.5512712,0.5204163,0.5004319,0.5246926,0.5241566,0.513756,0.032247864,0.6246583,0.5242887,0.5509355,0.5143177,0.5057712,0.5401353,0.54504484,0.5469175,0.5323924,0.47013876,0.53682727,0.51187754,0.5261033,0.57196474,0.49757466,0.61047184,0.71384543,0.6413867,0.7667267,0.2755628,2.0,2.0
0.6448928,0.49479583,0.48843455,0.5025196,0.5098823,0.5106963,0.048768394,0.7008335,0.62256634,0.56774145,0.5304874,0.50242025,0.56139845,0.5508208,0.5472615,0.51767594,0.5480437,0.49876305,0.5176221,0.46565616,0.43218058,0.6597286,0.5959266,0.36957186,0.25271332,0.77113014,0.33025292,1.0,2.0
0.61441857,0.016813453,0.015452508,0.016024996,0.013675375,0.009034447,0.079393394,0.5777448,0.5095927,0.48396865,0.44024867,0.45155454,0.49019375,0.48808444,0.5113708,0.47315863,0.45239216,0.023464166,0.03731494,0.32609385,0.32493278,0.53509635,0.16787301,0.087457135,0.1812891,0.0011036247,0.12246383,3.0,1.0
0.7290434,0.77822256,0.7522795,0.7822011,0.787283,0.79904395,0.021897199,0.68001676,0.5385871,0.50104654,0.45468566,0.4918367,0.525718,0.3799712,0.3793149,0.41523433,0.36386237,0.83455014,0.8246074,0.37999928,0.40788373,0.48706976,0.41267058,0.58055425,0.5851989,0.97684705,0.68408984,1.0,0.0
0.6556743,0.4843875,0.4682791,0.4905261,0.4899182,0.48435953,0.032451905,0.6284412,0.53161055,0.4049321,0.45697644,0.46424234,0.5417982,0.5091827,0.48021144,0.32774496,0.29129946,0.5435846,0.52286005,0.30381933,0.34955716,0.4185425,0.31031826,0.22688496,0.44256923,0.7613163,0.35743636,1.0,2.0
0.6219077,0.8372698,0.80468374,0.8276557,0.8280096,0.82452536,0.12145412,0.49712518,0.21855238,0.0,0.069812134,0.033981677,0.0,0.0,0.041310046,0.028012939,0.061898064,0.9985519,0.9588357,0.14008522,0.3353454,0.013862482,0.08237026,0.029381013,0.04333754,0.9415137,0.7320028,3.0,0.0
0.62026876,0.16653322,0.16124387,0.1691191,0.16640048,0.15347855,0.065322705,0.59251887,0.54179585,0.56483674,0.5396142,0.528702,0.5663405,0.55620116,0.5778247,0.5649276,0.5791452,0.15772597,0.14337583,0.37360382,0.31897137,0.6758751,0.518314,0.85315824,0.8610611,0.29444313,0.2258545,3.0,1.0
0.5929731,0.038831074,0.034936167,0.03547672,0.036334593,0.04059377,0.08142839,0.569301,0.522171,0.54349476,0.5215899,0.5225814,0.5289861,0.51056457,0.52400076,0.5342313,0.49743286,0.0356875,0.026110819,0.33070967,0.29259253,0.6223239,0.39757097,0.84067225,0.73063743,0.14865184,0.20892584,3.0,1.0
0.63071907,0.014511616,0.017851971,0.017536765,0.024056697,0.015892629,0.08029063,0.6441068,0.57015884,0.58813137,0.5300391,0.5215153,0.5439773,0.52607745,0.52551407,0.50473315,0.48506945,0.0060986346,0.007991201,0.39696866,0.38352686,0.5888257,0.567519,0.8002219,0.5453598,0.023043822,0.1079073,3.0,1.0
0.6481901,0.122498006,0.11709374,0.11429147,0.11589141,0.11227581,0.63756996,0.69593275,0.61282265,0.60163593,0.55123675,0.54532295,0.5633909,0.53431535,0.55746984,0.5365112,0.50363076,0.10762486,0.10068922,0.37693128,0.367366,0.5726987,0.5619131,0.3437007,0.20220757,0.2660638,0.1437723,1.0,1.0
0.5473325,0.38620898,0.37028503,0.38520455,0.3804153,0.35180244,0.032814045,0.5260878,0.5316762,0.49409318,0.4225214,0.4238003,0.4554252,0.48124954,0.47135115,0.43912804,0.41572922,0.3979529,0.40846443,0.4239242,0.4456075,0.51710385,0.39784974,0.25696474,0.2630207,0.5533452,0.38940412,2.0,2.0
0.63295835,0.26371095,0.2576063,0.26486593,0.2665203,0.24925874,0.038619064,0.6350336,0.5398572,0.44615042,0.50215983,0.5040975,0.52123076,0.50327337,0.5132646,0.5063375,0.4820463,0.26743025,0.2588443,0.44207978,0.44690284,0.56262624,0.49896082,0.36403766,0.4996608,0.42331758,0.31256607,1.0,1.0
0.6109927,0.32035628,0.3208561,0.3263455,0.33739275,0.31339797,0.05360591,0.7199734,0.6013662,0.59306806,0.6230414,0.6318739,0.6838036,0.62176204,0.6233191,0.60026044,0.5462393,0.33484566,0.2926735,0.38747886,0.35179937,0.6369361,0.60142815,0.8412924,0.87050545,0.52713,0.2992332,3.0,2.0
0.5622502,0.021216962,0.019963508,0.025599685,0.024755437,0.025868723,0.14413911,0.5925655,0.52172226,0.5057068,0.47506645,0.49336028,0.5278405,0.5148599,0.53398126,0.5161985,0.48410314,0.015906809,0.0235963,0.3889411,0.36828464,0.6026685,0.4393324,0.39940873,0.60405475,0.12445806,0.024539426,2.0,1.0
