Label,col-0,col-1,col-2,col-3,col-4,col-5,col-6,col-7,col-8,col-9,col-10,col-11,col-12,col-13,col-14,col-15,col-16,col-17,col-18,col-19,col-20,col-21,col-22,col-23,col-24,col-25,direction,Cluster
0.5326162,0.089042164,0.08894344,0.0874443,0.08692971,0.08692971,0.038363703,0.61936796,0.657068,0.6203272,0.62838924,0.62402505,0.6061992,0.63347983,0.6106354,0.5735866,0.5548756,0.0774468,0.073683165,0.5565673,0.53520733,0.6173659,0.46326917,0.31836894,0.28477255,0.7455101,0.18079327,2.0,2.0
0.58507043,0.7544828,0.7508051,0.7564162,0.7529285,0.7529285,0.02707081,0.59381324,0.6256547,0.6162386,0.6214784,0.715029,0.7108744,0.6974136,0.5890043,0.54682785,0.5740515,0.78853893,0.71795946,0.5859106,0.5950409,0.55602384,0.48529774,0.8027576,0.8198411,0.897269,0.3174304,3.0,1.0
0.59852064,0.33716476,0.32602364,0.33609957,0.3299938,0.3299938,0.02991579,0.5803633,0.6753928,0.5654207,0.5645933,0.57618314,0.5726627,0.58028305,0.5822442,0.59559786,0.6022032,0.34906882,0.35337064,0.45519584,0.40293905,0.65998775,0.36177683,0.3477727,0.3431453,0.8245335,0.26592866,3.0,2.0
0.5739746,0.14367816,0.14660332,0.14476718,0.1360974,0.1360974,0.05772964,0.590787,0.6407069,0.59345794,0.5725679,0.6185649,0.6125509,0.6534896,0.62167645,0.5716444,0.6064872,0.117826276,0.1251955,0.64222556,0.6368825,0.6043006,0.5295832,0.32221392,0.44785568,0.2146326,0.19433966,3.0,2.0
0.5729659,0.05501916,0.04370496,0.042108495,0.039919853,0.039919853,0.08026187,0.53597873,0.59816766,0.6103973,0.586922,0.63910574,0.66920745,0.7530504,0.68048674,0.6732845,0.68869853,0.0010051109,0.017325455,0.65750015,0.6072952,0.71049786,0.57225865,0.68963355,0.8240003,0.7755465,0.21141084,3.0,0.0
0.54539376,0.6364751,0.6342586,0.6302443,0.6229963,0.6229963,0.04120868,0.54539347,0.5876962,0.6290887,0.6299841,0.6151847,0.3409551,0.34114182,0.30419108,0.29909363,0.30436552,0.7500877,0.685846,0.2878416,0.35681543,0.33862314,0.13253152,0.408821,0.2791379,0.90212804,0.39309284,2.0,1.0
0.5628785,0.08628354,0.07866894,0.085139066,0.08276817,0.08276817,0.105779655,0.6065905,0.5765707,0.536215,0.5204679,0.5626626,0.53709346,0.54319185,0.5277152,0.49848944,0.50183606,0.11093722,0.12046553,0.43242913,0.40967348,0.58668256,0.19940268,0.091911145,0.20821714,0.68591213,0.15684874,3.0,2.0
0.6217218,0.29670498,0.28745595,0.29376054,0.2920777,0.2920777,0.041677266,0.5917958,0.62729067,0.6629673,0.64513576,0.6640668,0.65828276,0.6996097,0.66899514,0.70910674,0.69747055,0.255093,0.27055565,0.73085696,0.7193715,0.6424441,0.74708396,0.97579676,0.9467588,0.43418834,0.12939171,1.0,0.0
0.61398816,0.1839847,0.1775035,0.16420777,0.16098951,0.16098951,0.043484665,0.52421,0.55235606,0.64836454,0.63476884,0.6341656,0.5462399,0.54392385,0.5274898,0.542512,0.54753166,0.18388161,0.20077883,0.47796005,0.45112616,0.60837615,0.36951086,0.5705848,0.4261249,0.24907182,0.31379876,3.0,2.0
0.5820445,0.09310346,0.09170375,0.095128335,0.095946364,0.095946364,0.034501225,0.63449925,0.6564137,0.6238318,0.55980873,0.5603226,0.52388215,0.5302587,0.51892745,0.5047476,0.5203999,0.11768799,0.1394301,0.5305095,0.57184285,0.46767262,0.3384131,0.11215834,0.06790793,0.17009984,0.13269262,3.0,2.0
0.57901824,0.21432951,0.2135409,0.21807283,0.21724725,0.21724725,0.049214784,0.6200407,0.63318074,0.64398384,0.61563015,0.6175249,0.61737823,0.6303075,0.61919796,0.59063464,0.58955544,0.19402276,0.22938181,0.6806233,0.6961071,0.56740576,0.6341326,0.2881487,0.18831474,0.36928868,0.034756724,3.0,2.0
0.5339612,0.7610729,0.77426785,0.7644075,0.7689581,0.7689581,0.04930181,0.6832552,0.7493457,0.74649537,0.74534833,0.764951,0.71290696,0.9311863,0.86074823,0.8230471,0.78906596,0.71579856,0.68632203,0.7652239,0.7085997,0.75447834,0.7873663,0.8140904,0.8305169,0.67827827,0.4147668,2.0,1.0
0.58776075,0.6128736,0.6061954,0.6058091,0.607275,0.607275,0.029166052,0.60457337,0.5700263,0.5122665,0.51461995,0.5605826,0.49593514,0.44607136,0.4438938,0.4216661,0.5059161,0.66229904,0.66006476,0.60256267,0.68238246,0.3997931,0.37500134,0.111226745,0.15657757,0.6489408,0.35892978,3.0,1.0
0.5837259,0.54375476,0.537801,0.54280007,0.5437731,0.5437731,0.014941159,0.6160054,0.66164917,0.6670561,0.76289207,0.7878316,0.82063013,0.83992195,0.82694906,0.75571865,0.7474501,0.51889676,0.47352234,0.60666966,0.5175953,0.78503686,0.6812892,0.9664872,0.9764265,0.6426043,0.25024706,3.0,1.0
0.5763282,0.19762453,0.1906916,0.19678807,0.18911837,0.18911837,0.011179093,0.56119716,0.58049744,0.573014,0.5715046,0.6099846,0.5955286,0.61591035,0.6221271,0.6132931,0.60322326,0.17366119,0.21254987,0.6432848,0.63095325,0.6204836,0.4979554,0.2707294,0.51937675,0.29971108,0.039133944,3.0,2.0
0.612643,0.18214563,0.17328633,0.18457046,0.17778976,0.17778976,0.016895827,0.600202,0.627945,0.6428155,0.6472622,0.67472714,0.6613314,0.70253783,0.6867959,0.6495469,0.5560997,0.18575488,0.1489602,0.54263246,0.5311908,0.59100765,0.44789305,0.9073963,0.9253774,0.28833273,0.06756439,3.0,0.0
0.5891058,0.27126437,0.26499006,0.2714769,0.26240754,0.26240754,0.049375445,0.5800272,0.6092934,0.6279207,0.64699644,0.666407,0.65726644,0.68984884,0.67755747,0.65645236,0.6468789,0.22325833,0.25810272,0.74814904,0.74344635,0.6317339,0.85083646,0.70728296,0.7567657,0.38621116,0.06816156,3.0,0.0
0.5400137,0.5278161,0.5485356,0.5252805,0.5465475,0.5465475,0.19260171,0.2945529,0.31086382,0.39135513,0.38330674,0.3723351,0.3445122,0.3728647,0.39477238,0.39490724,0.37290913,0.723119,0.64916974,0.21778221,0.25540128,0.39082658,0.056156516,0.30624408,0.24368937,0.90225214,0.5299095,2.0,1.0
0.6119706,0.62789273,0.61831015,0.6202551,0.61790997,0.61790997,0.11119516,0.54741114,0.22905755,0.25175238,0.2238173,0.25689042,0.26067063,0.2650074,0.27805328,0.28441948,0.27417397,0.7643009,0.7274044,0.38420707,0.4821216,0.29908496,0.050361693,0.08946302,0.16010348,0.88996094,0.43033937,3.0,1.0
0.6341628,0.918161,0.92761856,0.9233134,0.92077684,0.92077684,0.027244855,0.587761,0.5628275,0.69509363,0.6650722,0.6926681,0.7347562,0.6300634,0.5628663,0.5420803,0.61770713,0.9864843,0.94137573,0.5603841,0.58645874,0.51052433,0.4755071,0.76361346,0.674483,0.7141372,0.6393487,1.0,1.0
0.6005381,0.41793105,0.41558045,0.42047027,0.41846487,0.41846487,0.03536476,0.59852093,0.6472514,0.58060753,0.5980864,0.65678656,0.7627035,0.8775014,0.8418207,0.8096679,0.7882498,0.36166036,0.36710733,0.7488002,0.6719667,0.795962,0.7256708,0.6499957,0.7934988,0.95248455,0.32259458,3.0,0.0
0.5827171,0.09264368,0.08817666,0.092976786,0.09286374,0.09286374,0.06396851,0.62642926,0.6485602,0.62412393,0.6018076,0.65496635,0.6458334,0.6261591,0.5651194,0.5280536,0.49408412,0.11436168,0.12201809,0.509146,0.5292345,0.510164,0.36024472,0.3116426,0.2683319,0.17633721,0.116247244,3.0,2.0
0.53328854,0.78804594,0.79067636,0.79329956,0.7931566,0.7931566,0.02695701,0.6193684,0.7054977,0.6033881,0.56831515,0.5897038,0.56046754,0.5915083,0.57593524,0.5589127,0.5442679,0.82992584,0.8179917,0.5989676,0.63359046,0.5016061,0.45650697,0.48152083,0.40437457,0.6788239,0.33958974,2.0,1.0
0.6123068,0.15586206,0.14714004,0.15690793,0.14819667,0.14819667,0.012022546,0.5820446,0.6200917,0.6188669,0.5877194,0.65132624,0.6768294,0.67008305,0.6716989,0.6553734,0.65014285,0.11310091,0.15111247,0.74082917,0.74869245,0.601158,0.7452065,0.5859116,0.68997407,0.20417663,0.04954011,3.0,0.0
0.5998657,0.19708814,0.19352862,0.1998617,0.19697902,0.19697902,0.026013147,0.62844664,0.6839005,0.682535,0.6555024,0.7082684,0.7063008,0.70497805,0.64578635,0.6333622,0.6379029,0.16998713,0.17898764,0.60939634,0.57701117,0.6568497,0.6273682,0.83516157,0.74971265,0.29438463,0.0548006,3.0,0.0
0.5951582,0.256705,0.25348875,0.25065318,0.24167694,0.24167694,0.042614434,0.55884343,0.6531415,0.69684595,0.70813406,0.73010945,0.68953264,0.63836026,0.6020731,0.57186025,0.5646676,0.23525389,0.26506028,0.6118869,0.60773313,0.59332114,0.5389825,0.8388221,0.66726875,0.8535259,0.31424683,3.0,0.0
0.59112316,0.11540231,0.10765221,0.11310897,0.10504008,0.10504008,0.030283961,0.56758595,0.61354715,0.6799066,0.6525786,0.6786273,0.6666668,0.6859445,0.6566021,0.6553734,0.641167,0.060899243,0.09462213,0.7150469,0.70008504,0.64603835,0.75033134,0.785037,0.71875805,0.18114379,0.047669195,3.0,0.0
0.52185625,0.5888123,0.5857998,0.59090215,0.58353883,0.58353883,0.024567228,0.5830533,0.65837693,0.6419392,0.64433837,0.6651069,0.63058954,0.66813093,0.53357375,0.50280535,0.5087721,0.5991127,0.60805655,0.64199734,0.6760478,0.5146438,0.5100609,0.6725347,0.52405435,0.917488,0.27597886,2.0,1.0
0.54875606,0.13019158,0.14131269,0.13208851,0.14434339,0.14434339,0.1132904,0.6570278,0.72218585,0.77482486,0.6810208,0.7568904,0.73932934,0.7293803,0.6838666,0.663142,0.62178713,0.12302115,0.11018742,0.6062106,0.59739286,0.60238045,0.61834383,0.761749,0.5700885,0.24522863,0.19331568,2.0,0.0
0.6109619,0.25072798,0.24796812,0.25334257,0.24599259,0.24599259,0.036228295,0.6092806,0.62369114,0.6477803,0.64832544,0.68694764,0.69715446,0.72352374,0.7347905,0.73823917,0.7139944,0.20103729,0.21733254,0.73447603,0.7061278,0.6817827,0.8046855,0.7047169,0.75312835,0.30152917,0.08064344,3.0,0.0
0.5393413,0.1943295,0.18770127,0.18887353,0.18757704,0.18757704,0.062033925,0.5729658,0.6191098,0.6442757,0.6076556,0.6562664,0.63109756,0.6090776,0.53447485,0.48079407,0.47164425,0.2612451,0.20388067,0.31062558,0.30248538,0.5202212,0.14137046,0.7542774,0.5904823,0.8232742,0.2571112,2.0,2.0
0.6341631,0.5786973,0.5724582,0.5747657,0.5690505,0.5690505,0.024232525,0.55951583,0.6171465,0.6039719,0.581074,0.5777432,0.6087399,0.6159101,0.64578635,0.6309884,0.6140351,0.58986497,0.55733234,0.59451866,0.58787876,0.59423834,0.444478,0.21205162,0.32954618,0.6388528,0.1664479,1.0,1.0
0.57666475,0.4499617,0.4434903,0.4514369,0.44551477,0.44551477,0.0088495575,0.58876944,0.65772235,0.67698586,0.6257311,0.650026,0.6547257,0.6490971,0.6430824,0.6197669,0.63831085,0.44400927,0.42601275,0.65407985,0.66193455,0.5775174,0.61420095,0.72926027,0.5686746,0.5757253,0.11619287,3.0,0.0
