Label,col-0,col-1,col-2,col-3,col-4,col-5,col-6,col-7,col-8,col-9,col-10,col-11,col-12,col-13,col-14,col-15,col-16,col-17,col-18,col-19,col-20,col-21,col-22,col-23,col-24,col-25,direction,Cluster
0.6076567,0.54175293,0.54257154,0.5303838,0.5254558,0.65184844,0.07967424,0.5560519,0.64412946,0.56622183,0.5517158,0.49273917,0.57288706,0.57556325,0.62332135,0.71279967,0.6773969,0.55976254,0.5096648,0.45517236,0.42335972,0.6749395,0.33389643,0.14326023,0.2391953,0.97810394,0.5491317,3.0,2.0
0.57345265,0.9182195,0.91658044,0.90979517,0.90264887,0.9022786,0.109062485,0.54854894,0.6195493,0.57134545,0.5251367,0.4536557,0.40109038,0.37817258,0.40444818,0.46952498,0.47925562,0.9883936,0.95838046,0.51782894,0.64620674,0.31614465,0.19740522,0.12391882,0.1338483,0.9596458,0.34236804,2.0,2.0
0.719211,0.7149759,0.72009647,0.7157858,0.7211902,0.756534,0.082848415,0.6548651,0.6505292,0.5767607,0.54034823,0.5292871,0.57119596,0.5855608,0.59309936,0.6354995,0.6190134,0.7774619,0.8133179,0.30330756,0.2555328,0.67556036,0.1716611,0.33814618,0.46318278,0.90572596,0.40131396,1.0,2.0
0.6257009,0.036231894,0.034987915,0.036839377,0.030959772,0.019131178,0.32980567,0.60865235,0.69536704,0.6460958,0.58986497,0.5703817,0.5844511,0.6313156,0.63897467,0.64538485,0.65335673,0.025397507,0.014569619,0.599666,0.60179186,0.6305804,0.5113474,0.46546686,0.7023246,0.08650981,0.099398896,3.0,0.0
0.58194846,0.37663907,0.37969664,0.37941128,0.37392503,0.5130085,0.17570074,0.61937445,0.64644325,0.45698294,0.39688915,0.42717114,0.45611945,0.49166095,0.49799535,0.50569314,0.536361,0.4556022,0.44673473,0.27410334,0.30302417,0.48949474,0.13535184,0.0037895648,0.23200767,0.8523347,0.63277674,2.0,2.0
0.6517259,0.89423746,0.8955533,0.8972284,0.89370483,0.8942046,0.05487584,0.63126874,0.6383152,0.58141005,0.6093457,0.5881551,0.5569286,0.55835867,0.56689805,0.65213853,0.61631423,0.9349808,0.91397846,0.4642708,0.44407958,0.65000814,0.345412,0.3797798,0.5410158,0.9388428,0.2914354,3.0,2.0
0.6529387,0.62957215,0.62978286,0.5866758,0.5985552,0.710868,0.28834593,0.4526498,0.53519034,0.44180664,0.43339184,0.46662298,0.52030873,0.5581917,0.5539265,0.6155402,0.6360555,0.6484572,0.6462873,0.63521653,0.6995596,0.49393192,0.37505534,0.4514422,0.6680148,0.97040075,0.5588526,3.0,2.0
0.61707175,0.24603176,0.2447432,0.24823546,0.24234606,0.21277067,0.09371203,0.6185329,0.7144686,0.6762831,0.63495183,0.6042147,0.6034136,0.6444589,0.6522695,0.68895286,0.7532343,0.2152744,0.21463469,0.6325983,0.5757888,0.7760902,0.64428556,0.7848214,0.8275528,0.41453812,0.17416115,3.0,0.0
0.6492802,0.118702546,0.11685623,0.1151661,0.110767126,0.09343776,0.19219156,0.5980975,0.68349177,0.6692978,0.62148935,0.59573865,0.59446275,0.6207602,0.6270251,0.67354196,0.69141525,0.10689229,0.096805,0.5478531,0.51264083,0.7052339,0.4704379,0.80852216,0.7846413,0.3576731,0.23852012,3.0,0.0
0.65711623,0.015873019,0.019476028,0.022034753,0.022703813,0.017876022,0.28075597,0.65197617,0.7414479,0.6967406,0.6488788,0.6236632,0.61934596,0.65635,0.66716594,0.68379545,0.6885702,0.00454809,0.007862562,0.5604195,0.52837867,0.70086294,0.6199859,0.77445114,0.6221782,0.03315524,0.10867043,3.0,0.0
