Label,col-0,col-1,col-2,col-3,col-4,col-5,col-6,col-7,col-8,col-9,col-10,col-11,col-12,col-13,col-14,col-15,col-16,col-17,col-18,col-19,col-20,col-21,col-22,col-23,col-24,col-25,direction,Cluster
0.6145503,0.0289153,0.032381494,0.03261994,0.034629475,0.038839042,0.13329288,0.62517816,0.6198827,0.64789575,0.6546888,0.61178863,0.60733837,0.61812544,0.58810025,0.5760369,0.57049274,0.03863722,0.05233372,0.36560687,0.30993572,0.61249095,0.31813776,0.40159163,0.25290602,0.763795,0.06443846,3.0,1.0
0.6022653,0.32526052,0.3280836,0.32442802,0.31973585,0.34946075,0.13299128,0.5788849,0.628396,0.72850037,0.72013324,0.70305187,0.66962016,0.6663791,0.622953,0.5972007,0.62218964,0.3007838,0.2788143,0.5372444,0.49723998,0.62713385,0.61792004,0.8987428,0.72693485,0.88534,0.15800984,3.0,2.0
0.6281435,0.24893588,0.24742416,0.2509225,0.24827586,0.2721007,0.047927503,0.5755872,0.5756325,0.6717536,0.6816271,0.68676376,0.6716602,0.69304687,0.7021195,0.68687505,0.7037731,0.17914827,0.22671708,0.6783147,0.6113097,0.7061373,0.8828275,0.840675,0.92462456,0.8436779,0.02691825,3.0,2.0
0.5323652,0.25792295,0.2633405,0.244528,0.24276103,0.20000523,0.184752,0.56586486,0.5016959,0.5765149,0.5592591,0.57436734,0.5361818,0.6096607,0.5200193,0.462839,0.46295443,0.30056956,0.2899816,0.38784525,0.4208137,0.46893907,0.29944423,0.19865224,0.35547262,0.098760515,0.32393414,2.0,1.0
0.62441015,0.06957287,0.06741242,0.060811818,0.06412324,0.07269496,0.11291335,0.5400292,0.5627823,0.6303814,0.5867354,0.5941206,0.5701289,0.6437373,0.6172839,0.63883376,0.6615842,0.005121852,0.10087591,0.64283043,0.5974127,0.6614179,0.61705667,0.22593716,0.34583935,0.7405433,0.16962679,3.0,1.0
0.5998462,0.25143108,0.25242856,0.23734319,0.24504767,0.2668549,0.18209013,0.50632757,0.515122,0.63072026,0.6626745,0.6104536,0.58635134,0.55342424,0.4954824,0.48327908,0.49866876,0.29235205,0.27200723,0.3763604,0.38076213,0.5141726,0.2547786,0.54692805,0.44220263,0.8502509,0.124689035,3.0,1.0
0.66344887,0.13166006,0.13467765,0.12664206,0.12751281,0.14193283,0.076015554,0.5778172,0.55927503,0.6252961,0.6524015,0.5408106,0.5532009,0.5846143,0.54048073,0.531777,0.5778701,0.11740964,0.1613445,0.51539254,0.502795,0.5758939,0.4414495,0.19561273,0.18685257,0.74421644,0.11457588,1.0,1.0
0.6552194,0.6484933,0.65115416,0.6348933,0.6309675,0.5985644,0.17016262,0.5782983,0.4370984,0.5673799,0.57245135,0.53288627,0.4758111,0.5148537,0.48018646,0.4305137,0.5198866,0.6987221,0.69783413,0.29795098,0.25137153,0.5810798,0.27398455,0.16246821,0.20872286,0.4591476,0.34446645,1.0,0.0
0.6729647,0.5919791,0.59740174,0.5619577,0.5603123,0.52038074,0.155952,0.4853422,0.51566184,0.73633015,0.7171445,0.6161019,0.4451343,0.4531106,0.36141768,0.46266192,0.49746186,0.7015228,0.6034879,0.06325921,0.030055484,0.50261915,0.3527307,0.5251279,0.32559732,0.3433863,0.8963535,1.0,0.0
0.631026,0.17824712,0.19286509,0.18290538,0.19698076,0.15656723,0.20707093,0.6917732,0.67630184,0.72333527,0.72306687,0.70527375,0.6325733,0.6199378,0.5845505,0.5569546,0.57301015,0.20242593,0.21818224,0.37633476,0.3440675,0.575747,0.45779294,0.6817321,0.43743938,0.0207897,0.23860817,3.0,2.0
