Label,col-0,col-1,col-2,col-3,col-4,col-5,col-6,col-7,col-8,col-9,col-10,col-11,col-12,col-13,col-14,col-15,col-16,col-17,col-18,col-19,col-20,col-21,col-22,col-23,col-24,col-25,direction,Cluster
0.57713795,0.44258747,0.45841342,0.44702116,0.46014354,0.5549765,0.027337946,0.6887976,0.6892764,0.6246695,0.62866557,0.59055066,0.5287194,0.56745267,0.61720955,0.64018625,0.66319853,0.5018754,0.48679277,0.52646023,0.49889448,0.6744641,0.3972684,0.24367699,0.124809936,0.7998535,0.24087961,3.0,1.0
0.5542955,0.4261524,0.43496174,0.43462136,0.43814614,0.49194828,0.030200802,0.62025696,0.65812457,0.7299138,0.697885,0.66351163,0.65049905,0.6358868,0.6254441,0.639428,0.71149474,0.4575434,0.450256,0.58412755,0.5557078,0.69727886,0.49128652,0.83680767,0.6062657,0.8885292,0.25086474,3.0,2.0
0.55785,0.5235183,0.51995295,0.52338797,0.524183,0.594866,0.025870927,0.54518205,0.6744404,0.69516385,0.69379795,0.6964608,0.6578376,0.6379406,0.6976988,0.76314086,0.78659624,0.5176281,0.48119003,0.7086033,0.6938452,0.70823944,0.6988796,0.7908685,0.77125674,0.9820353,0.13395458,3.0,2.0
0.51546264,0.08301976,0.08275455,0.07788012,0.07546047,0.061657485,0.08106678,0.5639454,0.5941513,0.5906987,0.5881215,0.6079207,0.57944834,0.63847303,0.64875907,0.6752923,0.6625781,0.10382006,0.06621563,0.64433646,0.6692514,0.58720165,0.43209594,0.2485564,0.47215116,0.21997021,0.16889504,3.0,0.0
0.52551395,0.47264108,0.47051302,0.46197632,0.46476528,0.5664707,0.024762925,0.51443374,0.6188399,0.64860064,0.6158024,0.66551775,0.7009859,0.7749513,0.8343672,0.91185904,0.95610446,0.4000053,0.41160494,0.7581333,0.66221684,0.92642266,0.65381634,0.7344946,0.8243682,0.83193743,0.32614136,3.0,2.0
0.5742784,0.45249295,0.45097116,0.44897714,0.4426619,0.50413924,0.049643457,0.47736585,0.62840337,0.6533499,0.69345444,0.66112494,0.67520595,0.67525274,0.70748645,0.75110096,0.72186583,0.45619616,0.4064594,0.6406101,0.61152244,0.7192086,0.5187407,0.6421616,0.72284263,0.86639804,0.24134947,3.0,2.0
0.5533414,0.5837089,0.58202547,0.5879318,0.58592105,0.69348925,0.025991632,0.591782,0.6440982,0.6998195,0.67817396,0.70406115,0.7111878,0.7387033,0.7087088,0.7435274,0.7710309,0.5678065,0.519834,0.68667877,0.6392366,0.78107184,0.6383093,0.85274714,0.8469393,0.7981379,0.22031991,3.0,2.0
0.6007055,0.18438381,0.18140082,0.18148103,0.18098633,0.18189679,0.031395465,0.5629958,0.6197776,0.65216833,0.6547094,0.6465484,0.6243555,0.6354707,0.6783302,0.7227033,0.7531527,0.17933348,0.15494119,0.6455417,0.6186918,0.71545404,0.597974,0.85616326,0.88492346,0.38861084,0.070628464,3.0,0.0
0.6196796,0.10289275,0.10276632,0.08924511,0.08663101,0.08167642,0.08330135,0.50785214,0.6726394,0.73456866,0.7153721,0.67799246,0.58656925,0.5632632,0.58023256,0.65498585,0.66731757,0.13438097,0.054547586,0.43953052,0.3844762,0.7111269,0.36050346,0.66496086,0.4027424,0.23791334,0.27504507,3.0,0.0
0.57758117,0.01105363,0.016362568,0.012322051,0.01806297,0.01321089,0.05245989,0.61040825,0.63924384,0.65981185,0.6485713,0.6298977,0.5592239,0.54987764,0.6003932,0.63359755,0.64371306,0.05251599,0.041987922,0.5393115,0.5409778,0.6068977,0.3062842,0.27175593,0.13884832,0.123598106,0.11410327,3.0,0.0
0.5416285,0.15122294,0.14738081,0.14786455,0.14652404,0.14683972,0.040138777,0.5498644,0.59865516,0.6305907,0.62866575,0.6141493,0.595931,0.6192784,0.6616879,0.69697535,0.6991729,0.14118369,0.1852268,0.7163662,0.73065835,0.6392947,0.62115324,0.43737513,0.60879475,0.32643744,0.11589028,3.0,0.0
0.6141445,0.47930384,0.49146554,0.48271325,0.49185973,0.5127833,0.095424384,0.6259814,0.71554834,0.6794349,0.7965969,0.7901049,0.723457,0.7399922,0.69473696,0.7328786,0.83061117,0.45732665,0.42298383,0.6366764,0.5448998,0.8725901,0.5914133,0.88264185,0.8272245,0.80324274,0.42178312,3.0,2.0
0.6023377,0.6148871,0.62130666,0.617538,0.61841947,0.6249994,0.051729474,0.6174796,0.6175055,0.58065027,0.6545055,0.6476805,0.55250573,0.49632832,0.5165759,0.59729695,0.6142273,0.69729966,0.6715879,0.61144,0.6729902,0.4849286,0.4111176,0.253109,0.2546235,0.80635154,0.36525923,3.0,1.0
0.5138325,0.66204137,0.66191876,0.63655937,0.6491979,0.6639233,0.20266849,0.459681,0.75007457,0.7378404,0.90619,0.5977906,0.64577305,0.74675703,0.73985326,0.80317837,0.7173784,0.8232952,0.53186464,0.11971194,0.0075719575,0.73725104,0.35189524,0.69766915,0.5595862,0.81831145,0.96529484,3.0,2.0
0.6559416,0.16439322,0.16656856,0.16473262,0.16625074,0.14760813,0.038823415,0.55757666,0.6258472,0.64468443,0.6511892,0.649639,0.59878314,0.5864656,0.64544326,0.6883146,0.67626226,0.17765795,0.17314486,0.66254175,0.6740597,0.6268186,0.52613896,0.76506776,0.69520926,0.28827116,0.13651918,1.0,0.0
0.6408476,0.1790922,0.17869334,0.18124177,0.17837194,0.15815143,0.08681725,0.5752724,0.6050686,0.6786776,0.6913214,0.6974829,0.67216957,0.67998534,0.710412,0.74801666,0.75027025,0.14961526,0.16067044,0.72986543,0.71331465,0.7203003,0.78991497,0.9033623,0.9510874,0.27639857,0.06904767,3.0,0.0
0.5597489,0.18238477,0.18681578,0.1866252,0.18360072,0.18086642,0.070085794,0.59379435,0.58908874,0.6148786,0.60180616,0.58308536,0.56898534,0.57916576,0.64232713,0.70222455,0.71362495,0.16563988,0.17172812,0.7389335,0.7463892,0.66427857,0.62906015,0.20244537,0.29705635,0.40120617,0.11554047,3.0,0.0
0.60826176,0.44637817,0.44508535,0.44562745,0.44147354,0.5028893,0.023986084,0.5402955,0.56993,0.62594765,0.6340628,0.62894666,0.5452957,0.59941775,0.63792336,0.71500623,0.7117149,0.45722708,0.41732174,0.6549644,0.63696206,0.6969905,0.49592534,0.46982476,0.45237306,0.88223684,0.2090115,3.0,1.0
