Label,col-0,col-1,col-2,col-3,col-4,col-5,col-6,col-7,col-8,col-9,col-10,col-11,col-12,col-13,col-14,col-15,col-16,col-17,col-18,col-19,col-20,col-21,col-22,col-23,col-24,col-25,direction,Cluster
0.7393251,0.048570517,0.044411708,0.04822007,0.048016254,0.048016254,0.05545809,0.7372819,0.722651,0.7085782,0.7107291,0.7151699,0.72068673,0.70618373,0.7017877,0.6977425,0.70723224,0.04955089,0.058100108,0.7167434,0.6456322,0.69172746,0.34481853,0.3249027,0.2822844,0.32753417,0.005119611,3.0,0.0
0.7878505,0.71729195,0.74037045,0.72621363,0.7416319,0.7416319,0.106830336,0.7984069,0.84370303,0.7964084,0.8348415,0.76330096,0.70997614,0.69144434,0.6711274,0.6236376,0.6333734,0.7009685,0.78227353,0.73110795,0.63282025,0.7445309,0.5845045,0.5358429,0.34806353,0.9053997,0.74825937,1.0,1.0
0.7236608,0.0973536,0.09671648,0.09924488,0.09827827,0.09827827,0.04678816,0.73455775,0.7186983,0.7184269,0.7237082,0.73923546,0.7342424,0.7180076,0.7180861,0.7227145,0.73890984,0.08097476,0.08259186,0.767262,0.6897722,0.7082746,0.7059916,0.7069175,0.74919355,0.38318408,0.054203693,2.0,2.0
0.7489403,0.26336345,0.26180336,0.2604677,0.25660136,0.25660136,0.012080363,0.7235804,0.72215927,0.7180346,0.717502,0.72502613,0.72201145,0.70120364,0.6979602,0.68010175,0.7004035,0.3134636,0.24224302,0.52095,0.40203178,0.7651405,0.1784079,0.7428045,0.6085688,0.9022779,0.19139485,1.0,2.0
0.7389846,0.03432883,0.03399285,0.03559871,0.037215266,0.037215266,0.053202014,0.7408575,0.7244627,0.71390617,0.71121585,0.71747756,0.72754824,0.733233,0.73196393,0.7352004,0.75641584,0.0075860093,0.026789688,0.7724007,0.68591833,0.72578096,0.7408369,0.61378175,0.6799025,0.34618664,0.029528748,3.0,2.0
0.7393251,0.04601977,0.041675437,0.043365702,0.0407443,0.0407443,0.042672485,0.7303011,0.7094753,0.6882352,0.7063487,0.7270378,0.7208541,0.710395,0.7056606,0.7068232,0.73624223,0.034379344,0.039942477,0.7453213,0.6693531,0.703456,0.4963044,0.44749972,0.6663355,0.26396295,0.04970275,3.0,2.0
0.7434114,0.89807636,0.90496737,0.90420717,0.91519624,0.91519624,0.038314715,0.75430834,0.7076636,0.72714525,0.72046345,0.72901577,0.7703907,0.7173597,0.7004966,0.71557957,0.81510276,0.9521354,0.7546847,0.77858895,0.71411073,0.6845972,0.55848104,0.61929893,0.6373995,0.7280198,0.5263622,1.0,1.0
0.7384738,0.08024231,0.07587876,0.07788566,0.07603466,0.07603466,0.032332424,0.7285985,0.7043697,0.6898498,0.69109833,0.7087414,0.69508165,0.68399364,0.66176784,0.65347415,0.6133665,0.12863782,0.11980087,0.6518554,0.60908586,0.6322636,0.111423284,0.22514583,0.27158865,0.46124533,0.082819186,3.0,0.0
0.7391549,0.07684132,0.072932005,0.078317165,0.076676294,0.076676294,0.024650184,0.73574954,0.7224863,0.70664084,0.7071599,0.7131919,0.70880467,0.68626124,0.69146,0.70358014,0.7150682,0.07556201,0.09051522,0.72427756,0.6511639,0.6961888,0.3867313,0.22614983,0.12979022,0.5904252,0.026571324,3.0,0.0
0.73217404,0.065894365,0.064249635,0.06623517,0.06747941,0.06747941,0.03751649,0.74068725,0.7289095,0.714552,0.7222481,0.7395651,0.74227536,0.7155781,0.7164724,0.73293024,0.7504138,0.03861525,0.05219887,0.7781478,0.69586694,0.71831954,0.7806743,0.9250719,0.8926116,0.35867092,0.04809051,3.0,2.0
0.7427304,0.06344988,0.059250686,0.062135935,0.059138067,0.059138067,0.049728427,0.7330254,0.72199225,0.69178724,0.6987235,0.7100601,0.7078005,0.6961415,0.69823754,0.6941751,0.69639516,0.089640126,0.06980007,0.6431513,0.5668035,0.6951749,0.14977345,0.08123864,0.31348363,0.38972405,0.05550119,3.0,0.0
0.73319566,0.0815177,0.0777731,0.07659115,0.07443053,0.07443053,0.10214801,0.7265553,0.71079284,0.68742794,0.68736684,0.6978625,0.70110637,0.6864232,0.6821005,0.6902834,0.7077324,0.08981588,0.099178,0.7173428,0.6545754,0.6759571,0.24273522,0.041923497,0.1783048,0.4843643,0.040500242,3.0,0.0
0.7369414,0.07716017,0.074615866,0.07659115,0.07849428,0.07849428,0.07137168,0.74307096,0.71952176,0.70825535,0.7144606,0.72258735,0.72286236,0.7081274,0.7025945,0.70358014,0.71656877,0.07620503,0.08587934,0.7254868,0.65166426,0.69763964,0.45693067,0.52902037,0.57685405,0.6028922,0.024898497,3.0,2.0
0.7222987,0.097141035,0.09345401,0.09633227,0.093572885,0.093572885,0.039074343,0.7342172,0.7241333,0.7093855,0.72143686,0.7285213,0.730728,0.7262682,0.7376119,0.73828137,0.75274795,0.081850246,0.0752578,0.74185884,0.656843,0.7203092,0.6168157,0.7526634,0.82170856,0.43336436,0.049938314,2.0,2.0
0.8070904,0.06759486,0.069195956,0.064886734,0.06651694,0.06651694,0.07137694,0.74068725,0.718863,0.7093855,0.7095935,0.71648854,0.7201847,0.70164853,0.6922668,0.6899591,0.71656877,0.072720416,0.058515653,0.709419,0.63737553,0.6928503,0.3770629,0.5919453,0.5054372,0.38150194,0.06166745,1.0,2.0
0.6914809,0.63067275,0.63081455,0.63387275,0.6437814,0.6437814,0.058186088,0.7657162,0.7793067,0.76766986,0.7467461,0.73544425,0.7019431,0.6849655,0.71776336,0.6395288,0.6046968,0.7566347,0.5534387,0.45344892,0.3860492,0.6614933,0.296237,0.6929423,0.43156976,0.71859753,0.51079434,2.0,1.0
0.74068725,0.12838772,0.12471058,0.12481123,0.12276761,0.12276761,0.028364116,0.73404694,0.72116876,0.70825535,0.7151096,0.714016,0.7027799,0.68399364,0.6772594,0.6765002,0.70072997,0.12400166,0.13711911,0.75932527,0.70501447,0.6636185,0.49917483,0.28027445,0.19087683,0.39966294,0.04636461,3.0,0.0
0.7161692,0.9750239,0.9840034,0.9842503,0.9889851,0.9889851,0.035151646,0.7578839,0.7055226,0.7035732,0.7829252,0.8343436,0.82846254,0.8187539,0.83282036,0.80508935,0.8594515,0.94318086,0.85437673,0.88418907,0.7654631,0.7967765,0.7015651,0.7331218,0.8444625,0.7511986,0.5304792,2.0,1.0
0.72280943,0.09033904,0.09103347,0.09190938,0.09196878,0.09196878,0.06272806,0.7374522,0.7035462,0.6782252,0.62733865,0.6381932,0.6371773,0.62536,0.6241686,0.63612354,0.64554423,0.1338973,0.14419994,0.7008201,0.67012805,0.6136733,0.13644807,0.08307018,0.20882262,0.4631828,0.10058726,2.0,0.0
0.6950564,0.866192,0.86002946,0.8779935,0.8716715,0.8716715,0.027146606,0.7366008,0.7214981,0.7097084,0.7579405,0.79939914,0.83900577,0.74100757,0.77972955,0.7035801,0.7003965,0.93234134,0.77650654,0.62744695,0.53283143,0.7284347,0.46961865,0.88301414,0.8982034,0.77632236,0.48672014,2.0,1.0
0.7331956,0.05069615,0.046306048,0.047572825,0.045342743,0.045342743,0.09615344,0.72962004,0.7046991,0.70518774,0.709269,0.7156644,0.71750706,0.70504993,0.6980762,0.7026072,0.71356773,0.042849276,0.059248414,0.73038745,0.65483403,0.7013538,0.40656352,0.42761537,0.48722675,0.29355013,0.0143341785,3.0,0.0
0.7478384,0.040811993,0.040412545,0.04099245,0.04384557,0.04384557,0.03265347,0.74256015,0.72050995,0.709547,0.72305924,0.7314883,0.73123,0.7149302,0.7098562,0.7134716,0.71990323,0.034569155,0.037582874,0.7396986,0.6661062,0.6984552,0.5571505,0.56029886,0.59247065,0.23826176,0.031438027,1.0,2.0
0.7251932,0.10617494,0.10408335,0.10560949,0.10415998,0.10415998,0.06979278,0.72332025,0.7073342,0.694209,0.71364945,0.73231244,0.7385936,0.7290217,0.72663873,0.73390317,0.7572495,0.079739325,0.09595811,0.7813691,0.692388,0.7313097,0.7016708,0.6248631,0.8025811,0.6609508,0.05225544,2.0,2.0
0.7401764,0.6222766,0.6176594,0.6048544,0.60442734,0.60442734,0.069933124,0.7103802,0.67703,0.6314039,0.62993443,0.67330253,0.5879753,0.5306067,0.4984611,0.4963456,0.515666,0.7757881,0.65120906,0.44126377,0.41484717,0.5826989,0.092704386,0.17479786,0.23001957,0.6548898,0.49350497,3.0,1.0
0.7413683,0.09087044,0.08756052,0.08581447,0.08373436,0.08373436,0.05668262,0.72332025,0.7098047,0.6938861,0.7027795,0.71006006,0.70529026,0.6929021,0.694526,0.68687814,0.6995629,0.08739282,0.10059088,0.73090893,0.6611528,0.6904058,0.35164997,0.5319927,0.7233482,0.43719867,0.05280758,3.0,2.0
0.73523885,0.24072699,0.23531888,0.24185544,0.23922575,0.23922575,0.0152767645,0.72842824,0.7050285,0.7026045,0.71494734,0.7094008,0.7128211,0.6940359,0.7003354,0.70276934,0.7267389,0.25069353,0.2343745,0.71372515,0.6343544,0.7071252,0.4067029,0.5209673,0.52217114,0.91327566,0.08446512,3.0,0.0
0.72638506,0.09012647,0.08766577,0.08861922,0.08822586,0.08822586,0.066098146,0.73268485,0.72133344,0.7108386,0.7120271,0.7187962,0.7235318,0.7112048,0.7030787,0.7030937,0.71856946,0.09206553,0.102716036,0.72902644,0.66100115,0.6869576,0.4371865,0.5797349,0.5325139,0.59079075,0.03988306,2.0,2.0
0.73779273,0.098947816,0.095137864,0.099676386,0.0973158,0.0973158,0.04761796,0.7352388,0.7234745,0.7055107,0.71624523,0.7374223,0.73089534,0.7133105,0.7268001,0.7386057,0.75074726,0.12028599,0.07848337,0.6448599,0.55210274,0.7264444,0.32603723,0.78868586,0.8647959,0.6707744,0.08166389,3.0,2.0
0.7393251,0.055053677,0.05356767,0.05738944,0.055715967,0.055715967,0.04234267,0.7393251,0.72923887,0.71955705,0.72176135,0.727862,0.72035205,0.704726,0.70549923,0.71185005,0.7312405,0.055010043,0.059410505,0.70368445,0.62377375,0.7072646,0.4173039,0.68487006,0.4336673,0.32270002,0.017854765,3.0,2.0
0.73779273,0.07429057,0.06998527,0.071197405,0.07389584,0.07389584,0.032209624,0.73591983,0.7140868,0.6980839,0.70699763,0.7125326,0.71415997,0.704402,0.69646245,0.70001274,0.70956635,0.07597631,0.084677584,0.7281296,0.6582797,0.6903387,0.37569192,0.4084489,0.5198913,0.41698512,0.033134863,3.0,0.0
0.79006386,0.8131577,0.8064618,0.7847897,0.7866539,0.7866539,0.061017584,0.68909717,0.6725833,0.67483467,0.6219848,0.58923805,0.5873059,0.5772544,0.57753253,0.625097,0.6723868,0.91058487,0.8652779,0.57612103,0.5217601,0.64757353,0.27363753,0.15781847,0.11775808,0.7306569,0.5024616,1.0,1.0
0.7345577,0.27314276,0.27373186,0.2781014,0.2811464,0.2811464,0.010383919,0.7468168,0.7450498,0.70890117,0.71949,0.73626846,0.7698887,0.7876554,0.7589128,0.74363256,0.7675864,0.26112732,0.23193663,0.74314636,0.6394471,0.75585407,0.60943615,0.7889264,0.84488577,0.9438204,0.1626561,3.0,2.0
0.7413683,0.103624195,0.09913704,0.103344135,0.10170036,0.10170036,0.047684625,0.7328551,0.7251215,0.71729666,0.7175432,0.7275323,0.73005855,0.7123386,0.7109858,0.72011995,0.7379095,0.08795055,0.09422116,0.7534332,0.675254,0.70836383,0.6415239,0.7965141,0.6795795,0.35861328,0.019133018,3.0,2.0
0.7345577,0.086406626,0.08524521,0.08554478,0.08822586,0.08822586,0.036056884,0.73864406,0.7338504,0.73344195,0.73409146,0.7395651,0.73842627,0.7149302,0.707597,0.7090934,0.7269057,0.085063964,0.06996756,0.72037107,0.6446503,0.7007888,0.54495245,0.8805144,0.60950136,0.4377338,0.052034527,3.0,2.0
0.73455775,0.25337443,0.25005263,0.25005394,0.24917121,0.24917121,0.011636515,0.7207663,0.72051,0.68952686,0.68428427,0.7059393,0.70846987,0.67767674,0.6759684,0.65152824,0.6580485,0.29164606,0.27144077,0.69296706,0.64495313,0.64583087,0.3124777,0.22673327,0.2721794,0.92317235,0.14556453,3.0,0.0
0.7335361,0.05314061,0.049778998,0.05059332,0.050796706,0.050796706,0.07722941,0.72876877,0.7126045,0.7019587,0.7082956,0.71896106,0.72319704,0.70213443,0.6892008,0.68606734,0.70289737,0.06021095,0.065670684,0.6965772,0.6217111,0.6970719,0.27480116,0.7004313,0.7235764,0.34921077,0.022957994,3.0,2.0
0.75941634,0.73323417,0.77783626,0.73085225,0.7857983,0.7857983,0.32576805,1.0,0.99769425,0.9651262,0.927155,0.96769303,1.0,0.98169714,0.9535254,0.93805665,0.92830855,0.72773236,0.56539255,0.5606907,0.40050086,0.8469095,0.719052,0.68470424,0.67480814,0.80998987,0.6958603,1.0,1.0
0.7318335,0.10319906,0.10429384,0.10604101,0.107689016,0.107689016,0.044218056,0.7461357,0.7328622,0.7289213,0.7318201,0.72769713,0.71600085,0.7022964,0.697108,0.7052017,0.7235712,0.0933647,0.11619976,0.7674975,0.7044292,0.6809461,0.6355685,0.7527342,0.51646274,0.44419995,0.09711652,3.0,2.0
0.7738888,0.9564247,0.9548516,0.93387276,0.9270666,0.9270666,0.06401224,0.66781396,0.6225155,0.62688327,0.64907855,0.69093955,0.67684007,0.63281065,0.65644264,0.6825,0.7332412,0.99852645,0.87315226,0.7921543,0.74135417,0.6598529,0.45074233,0.48138767,0.7308063,0.74190396,0.596543,1.0,1.0
0.72451216,0.25029227,0.25005263,0.25350595,0.25430435,0.25430435,0.017145133,0.7430709,0.7354973,0.70970845,0.70634866,0.7214335,0.73524654,0.71574,0.70695156,0.71606606,0.734575,0.2697387,0.25650582,0.6967247,0.6183421,0.70375353,0.44684285,0.42248282,0.449734,0.92925805,0.10576742,2.0,0.0
0.7422196,0.036879588,0.037886765,0.038942832,0.0407443,0.0407443,0.08490288,0.7435817,0.74027354,0.7124531,0.7144606,0.72571915,0.73005855,0.7142823,0.71534276,0.7126608,0.72757256,0.013671313,0.04316396,0.7732079,0.696664,0.7070047,0.7083912,0.4896157,0.4416071,0.35730106,0.033474836,3.0,2.0
0.73438746,0.15644595,0.15233634,0.15641856,0.1565608,0.1565608,0.02870972,0.7371117,0.7224863,0.70421904,0.698399,0.7126974,0.7176744,0.7029443,0.69517154,0.68606734,0.6897262,0.16394514,0.18300705,0.7170873,0.6482617,0.68742335,0.40590042,0.14178692,0.16378088,0.8235623,0.09453234,3.0,0.0
0.7355793,0.10213626,0.09840033,0.09590076,0.094428405,0.094428405,0.05789662,0.7228095,0.69811124,0.6835531,0.68428427,0.69720316,0.69792664,0.68561333,0.6843597,0.68363506,0.69089323,0.08443453,0.12325929,0.7795682,0.7150802,0.684702,0.48473036,0.2579578,0.38717318,0.40487924,0.11133103,3.0,0.0
0.7371117,0.11117015,0.10692487,0.11143475,0.11036253,0.11036253,0.035248134,0.7372819,0.71491027,0.70421904,0.71251374,0.7237412,0.74595714,0.73873997,0.73309356,0.74638915,0.75291467,0.09554171,0.09170418,0.76215047,0.67969966,0.7172324,0.6448157,0.7386686,0.8902897,0.4159234,0.05139228,3.0,2.0
0.74860215,0.24489518,0.25135338,0.25007755,0.25681373,0.25681373,0.018680178,0.7469115,0.7287007,0.7132251,0.7139579,0.7147148,0.7137026,0.6796523,0.6809754,0.6831611,0.68119967,0.3229759,0.26454577,0.49440965,0.38454685,0.74562943,0.13396448,0.4046194,0.20529246,0.90006924,0.19954596,1.0,0.0
0.7299606,0.24093951,0.24331722,0.24530743,0.24778096,0.24778096,0.01264175,0.7456249,0.7305564,0.72294754,0.725655,0.72654325,0.7210214,0.7022964,0.70275587,0.7090934,0.7147348,0.25457183,0.24843828,0.70254624,0.62397367,0.7046266,0.4577768,0.55355054,0.35819724,0.9157035,0.08582286,3.0,0.0
0.7285985,0.086300366,0.08345611,0.08252428,0.080846965,0.080846965,0.054289702,0.7251932,0.7111223,0.69501626,0.7076466,0.7031371,0.703784,0.67152184,0.6575722,0.60661125,0.624537,0.13037707,0.12421435,0.6582828,0.6175638,0.6289412,0.13630961,0.2940172,0.26465905,0.4683366,0.08621241,2.0,0.0
0.7393251,0.018599214,0.01757525,0.01618123,0.013688373,0.013688373,0.05417567,0.7270661,0.7088165,0.692433,0.6935319,0.69868666,0.6965878,0.6836697,0.67629117,0.6799055,0.7013969,0.024225922,0.03542255,0.7232182,0.6610773,0.6752866,0.26478523,0.10598593,0.11930056,0.23561104,0.029909806,3.0,0.0
0.72825795,0.07131469,0.08050937,0.07324704,0.082558006,0.082558006,0.11749495,0.7563516,0.74966127,0.73102015,0.73879635,0.7499495,0.75014096,0.7403597,0.74600315,0.7522267,0.7572495,0.041761477,0.057842,0.7887827,0.70423883,0.723548,0.8870102,0.73933613,0.7907348,0.39496067,0.062656015,2.0,2.0
